11jan15_8oct14_PWD_f3_sp1_1_rev,114,6.6955,0.058825,1,11jan15_8oct14_PWD_f3_sp1_1_rev_1,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,66,7.2658,0.10974,2,11jan15_8oct14_PWD_f3_sp1_1_rev_2,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,85,8.0124,0.094443,3,11jan15_8oct14_PWD_f3_sp1_1_rev_3,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,96,6.0927,0.063152,4,11jan15_8oct14_PWD_f3_sp1_1_rev_4,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,113,9.2754,0.081897,5,11jan15_8oct14_PWD_f3_sp1_1_rev_5,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,158,7.3961,0.046725,8,11jan15_8oct14_PWD_f3_sp1_1_rev_8,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,88,5.9265,0.067614,10,11jan15_8oct14_PWD_f3_sp1_1_rev_10,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,109,3.4417,0.031606,11,11jan15_8oct14_PWD_f3_sp1_1_rev_11,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,100,5.8268,0.058339,12,11jan15_8oct14_PWD_f3_sp1_1_rev_12,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,74,7.6621,0.1039,15,11jan15_8oct14_PWD_f3_sp1_1_rev_15,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,112,6.0082,0.053648,16,11jan15_8oct14_PWD_f3_sp1_1_rev_16,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,26,2.1918,0.083519,18,11jan15_8oct14_PWD_f3_sp1_1_rev_18,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,44,5.8777,0.13403,19,11jan15_8oct14_PWD_f3_sp1_1_rev_19,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_1_rev,77,7.4871,0.097776,21,11jan15_8oct14_PWD_f3_sp1_1_rev_21,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_10_rev,83,3.5872,0.04297,3,11jan15_8oct14_PWD_f3_sp1_10_rev_3,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_10_rev,84,3.3789,0.040406,4,11jan15_8oct14_PWD_f3_sp1_10_rev_4,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_10_rev,76,2.6016,0.034343,5,11jan15_8oct14_PWD_f3_sp1_10_rev_5,,,,,,,,,
11jan15_8oct14_PWD_f3_sp1_10_rev,80,4.3188,0.054271,6,11jan15_8oct14_PWD_f3_sp1_10_rev_6,,,,,,,,,
