"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","avergeRED","numberCrossOvers","boxNumber","foci_ABS_Position_1","Obj.ID","mouse","strain","subsp","sex","category","SC.pass","foci.pass","curated.1pass.0fail","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","notes"
"12oct18_26sep18_CZECH_m1_sp1_11_rev",73,5.1699,0.070962,0.59529,4,7,2,"12oct18_26sep18_CZECH_m1_sp1_11_rev_7","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_11_rev",113,3.0303,0.026866,0.54594,5,8,1,"12oct18_26sep18_CZECH_m1_sp1_11_rev_8","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_11_rev",101,4.3367,0.043064,0.59801,3,9,7,"12oct18_26sep18_CZECH_m1_sp1_11_rev_9","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",88,5.2722,0.060097,0.5852,3,1,4,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_1","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",64,3.5821,0.055785,0.54941,3,10,4,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_10","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",76,5.7097,0.075043,0.54399,3,11,2,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_11","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",46,3.9238,0.08534,0.57786,2,12,4,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_12","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",52,2.7778,0.053398,0.56656,2,13,3,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_13","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",61,5.5941,0.091429,0.49048,3,14,5,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_14","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",97,5.0429,0.051929,0.49763,4,15,2,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_15","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",101,4.0531,0.040049,0.52136,5,16,5,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_16","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",46,5.1534,0.11325,0.50088,5,17,4,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_17","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",88,3.5325,0.040346,0.47569,5,18,3,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_18","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",72,5.5568,0.0769,0.55084,5,19,7,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_19","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",96,5.547,0.057947,0.58425,10,4,5,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_4","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",71,3.5484,0.050005,0.55569,4,6,4,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_6","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",61,3.0508,0.049959,0.56318,3,7,4,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_7","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",64,4.9827,0.07815,0.59384,6,8,4,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_8","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
