return5,fileName,boxNumber,centromere,SC length,rank,chrm.class,hand.foci.count,F1,F2,F3,notes,,
,2aug15_8jun15_G_f4_sp1_18_rev,blob14,,93.174,,autosome,1,72.973,,,,,
,4dec14_8oct14_PWD_f1_sp1_12_rev,blob5,,105.845,,autosome,1,72.904,,,,,
,5aug17_14jul17_LEW_f1_sp1_1_rev,blob2,,84.095,,autosome,1,72.865,,,,,
,22nov16_13nov16_MSM_f2_sp1_19,blob_13,,79.213,,autosome,1,72.706,,,,,
,1oct16_30jun16_CAST_m3_sp1_m3_5.1,blob_8,,102.765,,autosome,1,72.523,,,,,
,7feb17_20dec16_LEW_m2_sp1_20_rev,blob3,,83.578,,autosome,1,72.383,,,,,
"3,5,6,7,8,13",29nov16_13nov16_MSM_m2_sp1_13,blob_5,,104.659,,autosome,1,72.144,,,,,
"3,5,6,7,8,19",29nov16_13nov16_MSM_m2_sp1_13,blob_11,,84.167,,autosome,1,71.991,,,,,
,28jul15_22jun15_G_m2_sp1_4_rev,blob12,,98.622,,autosome,1,71.853,,,,,
,15sep15_16jun15_WSB_f3_sp2_1_rev,blob1,,101.41,,autosome,1,71.67,,,,,
,7feb17_20dec16_LEW_m2_sp1_20_rev,blob2,,88.336,,autosome,1,71.498,,,,,
,27oct16_31aug16_MSM_m1_sp1_26,blob_14,,81.722,,autosome,1,71.476,,,maybe 2CO,,
,30mar15_13oct14_G_f1_sp1_1.1_rev,blob14,,84.41,,autosome,1,71.416,,,,,
,7feb17_20dec16_LEW_m2_sp1_25_rev,blob10,,92.249,,autosome,1,70.964,,,,,
,3aug17_8may17_LEW_m2_sp1_3_rev,blob17,,110.839,,autosome,1,70.941,,,,,
,20jul15_18may15_PWD_m1_sp1_2.2_rev,blob3,,84.465,,autosome,1,70.791,,,,,
,7feb17_20dec16_LEW_m2_sp1_25_rev,blob13,,79.566,,autosome,1,70.398,,,,,
,3aug17_8may17_LEW_m2_sp1_5_rev,blob5,,89.106,,autosome,1,70.322,,,,,
,20jul15_18may15_PWD_m1_sp1_2.2_rev,blob12,,98.96,,autosome,1,70.191,,,,,
,14oct16_30jun16_CAST_m3_sp1_3.2,blob_11,,97.938,3,autosome,1,70.097,,,,,
,2aug15_8jun15_G_f4_sp1_18_rev,blob7,,100.743,,autosome,1,69.33,,,,,
,22nov16_30sep16_MSM_f2_sp1_13.1_rev,blob4,,106.309,,autosome,1,69.305,,,,,
,1mar16_3jan16_G_m2_sp1_19.3_rev,blob1,,84.806,,autosome,1,68.853,,,,,
,29nov16_13nov16_MSM_m2_sp1_13_rev,blob12,,83.931,,autosome,1,68.805,,,,,
,5aug17_14jul17_LEW_f1_sp1_1_rev,blob1,,78.357,,autosome,1,68.525,,,,,
,2aug15_8jun15_G_f4_sp1_7_rev,blob1,,91.902,,autosome,1,68.277,,,,,
