"Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",24.7116428571429,0.447657724732666,55.2020918926402,1.19324726915733e-87
"subspMusc",0.855690476190476,0.715630342642455,1.19571575602964,0.234145535254168
"subspMol",2.90735714285714,1.73377091269072,1.67689809626872,0.0961440733535639
"sexmale",-1.15644285714286,0.693508365076287,-1.66752546238667,0.0979961073018285
"strainG",3.27735714285714,0.658934329133886,4.9737234773683,2.19426018872698e-06
"strainLEW",1.69646825396825,0.715630342642455,2.37059296242816,0.0193395447641553
"strainPWD",0.302533333333333,0.706234350677145,0.428375273792985,0.669139502501524
"strainMSM",0.0698571428571432,1.73377091269072,0.0402920260951482,0.96792671755256
"strainSKIVE",0.370666666666667,1.76558587669286,0.209939755159894,0.834067780960806
"subspMusc:sexmale",-0.807890476190473,1.0235890223173,-0.789272313962,0.43149671378472
"subspMol:sexmale",-3.22255714285714,1.93755309986771,-1.66320971697611,0.0988585488178135
"sexmale:strainG",-3.15173896103896,0.984785331637837,-3.20043247983515,0.00175274729535898
"sexmale:strainLEW",-1.19095396825397,1.09246422287147,-1.09015374903869,0.277811661390244
"sexmale:strainPWD",4.40084166666666,1.05095849625653,4.18745524427681,5.38284016384438e-05
"sexmale:strainMSM",6.94639285714286,2.04326861564599,3.39964741001354,0.000914436412410834
"sexmale:strainSKIVE",2.26233333333333,1.98329463297645,1.1406945270346,0.256249781602375
