"Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",24.7116428571429,0.469799877494914,52.600360368145,3.24693953114546e-56
"strainG",3.27735714285714,0.691526695510866,4.73930676014755,1.15885934666249e-05
"strainLEW",1.69646825396825,0.751027020712854,2.25886447115846,0.0271511458286758
"strainPWD",1.15822380952381,0.653230220873308,1.77307138052396,0.0807619479237661
"strainMSM",2.97721428571428,0.664397358354526,4.48107483914111,2.97249488765066e-05
"strainMOLF",2.90735714285714,1.81952710158809,1.59786415949485,0.11477913105449
"strainSKIVE",1.22635714285714,1.81952710158809,0.67399773368958,0.502631531487046
"strainKAZ",0.855690476190466,0.751027020712854,1.13936043922663,0.258609979227619
