fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,Obj.ID,mouse,category,strain,sex,subsp
20jul15_18may15_PWD_m2_sp1_17_rev,73,7.1422,0.097314,0.70063,8,12,20jul15_18may15_PWD_m2_sp1_17_rev_12,0,,,,,,,,20jul15_18may15_PWD_m2_sp1_17_rev_12,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_17_rev,104,4.4344,0.042493,0.56262,2,14,20jul15_18may15_PWD_m2_sp1_17_rev_14,1,1,1,,2,27,93,,20jul15_18may15_PWD_m2_sp1_17_rev_14,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_17_rev,66,5.4953,0.082799,0.55864,1,15,20jul15_18may15_PWD_m2_sp1_17_rev_15,1,1,1,,1,48,,,20jul15_18may15_PWD_m2_sp1_17_rev_15,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_17_rev,125,8.1476,0.065368,0.63813,2,2,20jul15_18may15_PWD_m2_sp1_17_rev_2,1,1,1,,2,20,108,,20jul15_18may15_PWD_m2_sp1_17_rev_2,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_17_rev,92,7.0801,0.076957,0.65732,2,3,20jul15_18may15_PWD_m2_sp1_17_rev_3,1,1,1,,2,30,87,,20jul15_18may15_PWD_m2_sp1_17_rev_3,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_17_rev,137,4,0.029207,0.61934,2,4,20jul15_18may15_PWD_m2_sp1_17_rev_4,1,1,1,,2,17,123,,20jul15_18may15_PWD_m2_sp1_17_rev_4,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_17_rev,116,3.6353,0.031207,0.64118,2,7,20jul15_18may15_PWD_m2_sp1_17_rev_7,1,1,1,,2,20,76,,20jul15_18may15_PWD_m2_sp1_17_rev_7,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_17_rev,89,7.0648,0.079335,0.61129,2,8,20jul15_18may15_PWD_m2_sp1_17_rev_8,1,1,1,,2,16,82,,20jul15_18may15_PWD_m2_sp1_17_rev_8,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_17_rev,71,5.2376,0.073919,0.59416,2,9,20jul15_18may15_PWD_m2_sp1_17_rev_9,1,0,0,,1,54,,,20jul15_18may15_PWD_m2_sp1_17_rev_9,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_19_rev,74,4.5546,0.061767,0.80319,3,1,20jul15_18may15_PWD_m2_sp1_19_rev_1,1,0,0,,1,42,,,20jul15_18may15_PWD_m2_sp1_19_rev_1,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_19_rev,78,6.5882,0.084705,0.81702,4,10,20jul15_18may15_PWD_m2_sp1_19_rev_10,1,0,0,,2,25,72,,20jul15_18may15_PWD_m2_sp1_19_rev_10,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_19_rev,92,4.3575,0.04736,0.75853,3,11,20jul15_18may15_PWD_m2_sp1_19_rev_11,1,0,0,,2,32,77,,20jul15_18may15_PWD_m2_sp1_19_rev_11,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_19_rev,68,5.0304,0.073611,0.77937,4,12,20jul15_18may15_PWD_m2_sp1_19_rev_12,1,0,0,,2,21,55,,20jul15_18may15_PWD_m2_sp1_19_rev_12,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_19_rev,103,4.284,0.041418,0.69459,5,13,20jul15_18may15_PWD_m2_sp1_19_rev_13,1,0,0,,2,19,97,,20jul15_18may15_PWD_m2_sp1_19_rev_13,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_19_rev,112,3.6914,0.032977,0.69797,5,15,20jul15_18may15_PWD_m2_sp1_19_rev_15,1,0,0,,2,30,100,,20jul15_18may15_PWD_m2_sp1_19_rev_15,18may15_PWD_m2,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m2_sp1_19_rev,86,9.4833,0.11025,0.7386,5,17,20jul15_18may15_PWD_m2_sp1_19_rev_17,1,0,0,,1,16,82,,20jul15_18may15_PWD_m2_sp1_19_rev_17,18may15_PWD_m2,PWD male,PWD,male,Musc
