fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,foci_ABS_Position_1,mouse,strain,sex,category,Obj.ID
26jan18_11jan18_KAZ_m3_sp1_1_rev,77,2.9412,0.038204,0.50037,1,36,26jan18_11jan18_KAZ_m3_sp1_1_rev_36,1,1,1,,1,73,,,73,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_36
26jan18_11jan18_KAZ_m3_sp1_1_rev,76,11.9803,0.15863,0.4478,1,38,26jan18_11jan18_KAZ_m3_sp1_1_rev_38,0,,,,,,,,41,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_38
26jan18_11jan18_KAZ_m3_sp1_1_rev,69,3.6503,0.053113,0.4958,7,40,26jan18_11jan18_KAZ_m3_sp1_1_rev_40,1,0,0,,1,64,,,5,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_40
26jan18_11jan18_KAZ_m3_sp1_1_rev,105,2.6866,0.025509,0.48213,5,41,26jan18_11jan18_KAZ_m3_sp1_1_rev_41,0,,,,,,,,5,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_41
26jan18_11jan18_KAZ_m3_sp1_1_rev,73,13.9344,0.19141,0.47824,7,44,26jan18_11jan18_KAZ_m3_sp1_1_rev_44,0,,,,,,,,6,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_44
26jan18_11jan18_KAZ_m3_sp1_1_rev,85,3.3333,0.039277,0.47811,6,46,26jan18_11jan18_KAZ_m3_sp1_1_rev_46,1,0,0,,,,,,7,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_46
26jan18_11jan18_KAZ_m3_sp1_1_rev,71,3.2101,0.045269,0.46907,2,48,26jan18_11jan18_KAZ_m3_sp1_1_rev_48,1,0,0,,1,45,,,39,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_48
26jan18_11jan18_KAZ_m3_sp1_1_rev,52,3.9338,0.075092,0.43311,4,49,26jan18_11jan18_KAZ_m3_sp1_1_rev_49,1,,,,,,,,2,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_49
26jan18_11jan18_KAZ_m3_sp1_1_rev,170,3.7838,0.02222,0.68162,6,5,26jan18_11jan18_KAZ_m3_sp1_1_rev_5,0,,,,,,,,4,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_5
26jan18_11jan18_KAZ_m3_sp1_1_rev,45,3.0986,0.06935,0.49692,5,50,26jan18_11jan18_KAZ_m3_sp1_1_rev_50,1,,,,,,,,14,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_50
26jan18_11jan18_KAZ_m3_sp1_1_rev,90,4.9513,0.055054,0.64521,1,7,26jan18_11jan18_KAZ_m3_sp1_1_rev_7,1,1,1,,1,67,,,67,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_7
26jan18_11jan18_KAZ_m3_sp1_1_rev,63,3.2787,0.051701,0.60372,3,8,26jan18_11jan18_KAZ_m3_sp1_1_rev_8,1,0,0,,1,35,,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_8
26jan18_11jan18_KAZ_m3_sp1_1_rev,114,5.2523,0.04599,0.59569,6,9,26jan18_11jan18_KAZ_m3_sp1_1_rev_9,1,0,0,,1,45,,,4,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_1_rev_9
26jan18_11jan18_KAZ_m3_sp1_15_rev,50,4.9906,0.09958,0.59734,2,1,26jan18_11jan18_KAZ_m3_sp1_15_rev_1,1,0,0,,1,22,,,5,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_15_rev_1
26jan18_11jan18_KAZ_m3_sp1_15_rev,90,6.2284,0.069309,0.56856,5,10,26jan18_11jan18_KAZ_m3_sp1_15_rev_10,1,0,0,,1,77,,,9,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_15_rev_10
26jan18_11jan18_KAZ_m3_sp1_15_rev,104,3.8822,0.037366,0.54638,1,11,26jan18_11jan18_KAZ_m3_sp1_15_rev_11,1,1,1,,1,70,,,70,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_15_rev_11
26jan18_11jan18_KAZ_m3_sp1_15_rev,72,3.7279,0.051594,0.50006,1,14,26jan18_11jan18_KAZ_m3_sp1_15_rev_14,1,1,1,,1,64,,,64,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_15_rev_14
26jan18_11jan18_KAZ_m3_sp1_15_rev,62,3.9879,0.064432,0.55945,1,16,26jan18_11jan18_KAZ_m3_sp1_15_rev_16,1,1,1,,1,47,,,47,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_15_rev_16
26jan18_11jan18_KAZ_m3_sp1_15_rev,77,3.5484,0.046117,0.59065,1,2,26jan18_11jan18_KAZ_m3_sp1_15_rev_2,1,1,1,,1,63,,,63,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_15_rev_2
26jan18_11jan18_KAZ_m3_sp1_15_rev,98,4.6208,0.047178,0.56623,5,4,26jan18_11jan18_KAZ_m3_sp1_15_rev_4,1,0,0,,2,16,95,,1,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_15_rev_4
26jan18_11jan18_KAZ_m3_sp1_15_rev,84,4.9181,0.058446,0.57567,8,5,26jan18_11jan18_KAZ_m3_sp1_15_rev_5,1,,,kink,,,,,8,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_15_rev_5
26jan18_11jan18_KAZ_m3_sp1_15_rev,119,7.9552,0.066948,0.54357,2,6,26jan18_11jan18_KAZ_m3_sp1_15_rev_6,1,1,1,,2,28,113,,28,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_15_rev_6
26jan18_11jan18_KAZ_m3_sp1_15_rev,68,4.9387,0.07301,0.59243,3,8,26jan18_11jan18_KAZ_m3_sp1_15_rev_8,1,0,0,kink,1,31,,,7,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_15_rev_8
26jan18_11jan18_KAZ_m3_sp1_15_rev,84,5.0869,0.060674,0.5776,1,9,26jan18_11jan18_KAZ_m3_sp1_15_rev_9,1,1,1,,1,70,,,70,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_15_rev_9
26jan18_11jan18_KAZ_m3_sp1_16_rev,103,5.2601,0.051228,0.56283,3,1,26jan18_11jan18_KAZ_m3_sp1_16_rev_1,1,0,0,,2,27,95,,2,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_1
26jan18_11jan18_KAZ_m3_sp1_16_rev,100,16.7814,0.16799,0.54818,5,10,26jan18_11jan18_KAZ_m3_sp1_16_rev_10,0,,,,,,,,21,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_10
26jan18_11jan18_KAZ_m3_sp1_16_rev,96,4.7312,0.049443,0.51707,6,11,26jan18_11jan18_KAZ_m3_sp1_16_rev_11,1,0,0,,1,79,,,7,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_11
26jan18_11jan18_KAZ_m3_sp1_16_rev,82,3.8806,0.047389,0.54615,1,12,26jan18_11jan18_KAZ_m3_sp1_16_rev_12,1,1,1,,1,62,,,62,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_12
26jan18_11jan18_KAZ_m3_sp1_16_rev,118,4.1398,0.035054,0.52997,6,14,26jan18_11jan18_KAZ_m3_sp1_16_rev_14,0,,,,,,,,8,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_14
26jan18_11jan18_KAZ_m3_sp1_16_rev,76,5.9812,0.078598,0.51211,4,15,26jan18_11jan18_KAZ_m3_sp1_16_rev_15,1,0,0,,1,31,,,2,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_15
26jan18_11jan18_KAZ_m3_sp1_16_rev,70,4.6884,0.067399,0.4772,5,16,26jan18_11jan18_KAZ_m3_sp1_16_rev_16,1,0,0,,1,21,,,3,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_16
26jan18_11jan18_KAZ_m3_sp1_16_rev,94,5.1415,0.054924,0.474,2,17,26jan18_11jan18_KAZ_m3_sp1_16_rev_17,1,0,0,,1,39,,,39,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_17
26jan18_11jan18_KAZ_m3_sp1_16_rev,67,2.8571,0.042329,0.51663,5,2,26jan18_11jan18_KAZ_m3_sp1_16_rev_2,1,0,0,,1,43,,,4,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_2
