fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,chromosomeLength,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3
5jun18_21may18_KAZ_m2_sp1_10.2_rev,3.3898,0.040999,0.75621,83,2,3,5jun18_21may18_KAZ_m2_sp1_10.2_rev_3,1,1,,first foci very faint,2,30,66,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,6.4642,0.13483,0.72279,48,1,4,5jun18_21may18_KAZ_m2_sp1_10.2_rev_4,1,1,,,1,46,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,4.3645,0.061972,0.7348,70,5,5,5jun18_21may18_KAZ_m2_sp1_10.2_rev_5,1,0,,hard to tell for foci,,,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,7.9231,0.089585,0.70609,88,7,6,5jun18_21may18_KAZ_m2_sp1_10.2_rev_6,1,0,,,1,28,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,2.5397,0.024349,0.75165,104,7,7,5jun18_21may18_KAZ_m2_sp1_10.2_rev_7,0,,X,XY,,,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,7.3294,0.05227,0.69515,140,1,8,5jun18_21may18_KAZ_m2_sp1_10.2_rev_8,0,,X,merged,,,,
5jun18_21may18_KAZ_m2_sp1_10.2_rev,4.3478,0.043372,0.64172,100,2,9,5jun18_21may18_KAZ_m2_sp1_10.2_rev_9,1,0,,,1,94,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,7.0031,0.092019,0.61296,76,1,1,5jun18_21may18_KAZ_m2_sp1_10.3_rev_1,1,1,,,1,71,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,4.5155,0.039972,0.5365,113,2,11,5jun18_21may18_KAZ_m2_sp1_10.3_rev_11,1,1,,,2,21,107,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,7.3522,0.085541,0.55385,86,1,13,5jun18_21may18_KAZ_m2_sp1_10.3_rev_13,1,1,,,1,72,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,3.9832,0.051011,0.56217,78,1,14,5jun18_21may18_KAZ_m2_sp1_10.3_rev_14,1,1,,,1,66,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,5.9215,0.076953,0.59423,77,2,2,5jun18_21may18_KAZ_m2_sp1_10.3_rev_2,1,0,,,1,67,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,4.7492,0.049854,0.61674,95,2,5,5jun18_21may18_KAZ_m2_sp1_10.3_rev_5,0,0,X,merged,,,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,5.8596,0.067624,0.62253,87,2,6,5jun18_21may18_KAZ_m2_sp1_10.3_rev_6,1,0,,,1,68,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,4.4775,0.058854,0.61538,76,1,7,5jun18_21may18_KAZ_m2_sp1_10.3_rev_7,0,,X,merged,,,,
5jun18_21may18_KAZ_m2_sp1_10.3_rev,3.5294,0.071466,0.56732,49,4,9,5jun18_21may18_KAZ_m2_sp1_10.3_rev_9,1,,,hard to tell for foci,,,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,3.8409,0.05758,0.4278,67,1,1,5jun18_21may18_KAZ_m2_sp1_10.4_rev_1,1,1,,,1,63,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,4.6745,0.042929,0.37564,109,3,10,5jun18_21may18_KAZ_m2_sp1_10.4_rev_10,1,0,,,2,24,100,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,4.7059,0.034536,0.41791,136,8,12,5jun18_21may18_KAZ_m2_sp1_10.4_rev_12,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,6.9674,0.099532,0.43574,70,1,13,5jun18_21may18_KAZ_m2_sp1_10.4_rev_13,1,1,,,1,56,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,9.7575,0.092385,0.44834,106,3,3,5jun18_21may18_KAZ_m2_sp1_10.4_rev_3,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,3.6881,0.026462,0.43958,139,2,4,5jun18_21may18_KAZ_m2_sp1_10.4_rev_4,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,4.1176,0.046684,0.41455,88,7,5,5jun18_21may18_KAZ_m2_sp1_10.4_rev_5,1,0,,,1,79,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,4.7711,0.098987,0.43489,48,1,6,5jun18_21may18_KAZ_m2_sp1_10.4_rev_6,1,1,,,1,38,,
5jun18_21may18_KAZ_m2_sp1_10.4_rev,4.5577,0.034764,0.41692,131,1,8,5jun18_21may18_KAZ_m2_sp1_10.4_rev_8,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_11_rev,6.5253,0.073751,0.62238,88,1,1,5jun18_21may18_KAZ_m2_sp1_11_rev_1,1,1,,,1,82,,
5jun18_21may18_KAZ_m2_sp1_11_rev,4.127,0.088214,0.63233,47,1,10,5jun18_21may18_KAZ_m2_sp1_11_rev_10,1,1,,,1,30,,
5jun18_21may18_KAZ_m2_sp1_11_rev,4.4776,0.046682,0.5962,96,6,11,5jun18_21may18_KAZ_m2_sp1_11_rev_11,1,0,,,1,68,,
5jun18_21may18_KAZ_m2_sp1_11_rev,5.2663,0.051112,0.58505,103,3,12,5jun18_21may18_KAZ_m2_sp1_11_rev_12,1,1,,faint middle foci,3,21,66,93
5jun18_21may18_KAZ_m2_sp1_11_rev,7.1098,0.060801,0.61155,117,3,13,5jun18_21may18_KAZ_m2_sp1_11_rev_13,1,0,,,1,39,,
5jun18_21may18_KAZ_m2_sp1_11_rev,3.4489,0.051674,0.60863,67,4,14,5jun18_21may18_KAZ_m2_sp1_11_rev_14,0,,X,,,,,
5jun18_21may18_KAZ_m2_sp1_11_rev,2.4242,0.025244,0.59488,96,6,15,5jun18_21may18_KAZ_m2_sp1_11_rev_15,1,0,,,1,41,,
5jun18_21may18_KAZ_m2_sp1_11_rev,4.1788,0.053332,0.60425,78,1,16,5jun18_21may18_KAZ_m2_sp1_11_rev_16,1,1,,,1,35,,
5jun18_21may18_KAZ_m2_sp1_11_rev,3.3333,0.054779,0.59753,61,1,17,5jun18_21may18_KAZ_m2_sp1_11_rev_17,1,1,,,1,56,,
5jun18_21may18_KAZ_m2_sp1_11_rev,7.1359,0.087995,0.61637,81,1,2,5jun18_21may18_KAZ_m2_sp1_11_rev_2,1,1,,,1,26,,
5jun18_21may18_KAZ_m2_sp1_11_rev,9.3687,0.061744,0.61694,152,15,3,5jun18_21may18_KAZ_m2_sp1_11_rev_3,0,,,XY,,,,
5jun18_21may18_KAZ_m2_sp1_11_rev,4.4118,0.02854,0.60647,155,4,4,5jun18_21may18_KAZ_m2_sp1_11_rev_4,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_11_rev,2.8125,0.02202,0.61615,128,3,5,5jun18_21may18_KAZ_m2_sp1_11_rev_5,0,,X,merge,,,,
5jun18_21may18_KAZ_m2_sp1_11_rev,2.4615,0.033623,0.61167,73,3,6,5jun18_21may18_KAZ_m2_sp1_11_rev_6,1,0,,,1,70,,
5jun18_21may18_KAZ_m2_sp1_11_rev,4.8572,0.11378,0.61727,43,1,7,5jun18_21may18_KAZ_m2_sp1_11_rev_7,0,,X,self twist,,,,
5jun18_21may18_KAZ_m2_sp1_11_rev,4.4924,0.072699,0.62465,62,1,8,5jun18_21may18_KAZ_m2_sp1_11_rev_8,1,1,,,1,54,,
5jun18_21may18_KAZ_m2_sp1_11_rev,4.6377,0.066502,0.62383,70,2,9,5jun18_21may18_KAZ_m2_sp1_11_rev_9,1,0,,,1,60,,
5jun18_21may18_KAZ_m2_sp1_12_rev,5.4757,0.070493,0.46229,78,5,1,5jun18_21may18_KAZ_m2_sp1_12_rev_1,1,0,,2 foci faint,2,51,59,
5jun18_21may18_KAZ_m2_sp1_12_rev,4.6242,0.052931,0.45154,87,5,10,5jun18_21may18_KAZ_m2_sp1_12_rev_10,1,0,,,1,9,,
5jun18_21may18_KAZ_m2_sp1_12_rev,3.4384,0.039669,0.43732,87,5,11,5jun18_21may18_KAZ_m2_sp1_12_rev_11,1,0,,foci too faint,0,,,
5jun18_21may18_KAZ_m2_sp1_12_rev,3.6847,0.08575,0.45501,43,2,12,5jun18_21may18_KAZ_m2_sp1_12_rev_12,1,0,,,1,18,,
5jun18_21may18_KAZ_m2_sp1_12_rev,5.0404,0.06749,0.4528,75,4,14,5jun18_21may18_KAZ_m2_sp1_12_rev_14,1,0,,foci too faint,0,,,
5jun18_21may18_KAZ_m2_sp1_12_rev,3.8806,0.041518,0.43602,93,4,15,5jun18_21may18_KAZ_m2_sp1_12_rev_15,1,0,,,2,42,85,
5jun18_21may18_KAZ_m2_sp1_12_rev,6.1628,0.091111,0.43843,68,2,16,5jun18_21may18_KAZ_m2_sp1_12_rev_16,1,1,,first foci faint,2,18,46,
5jun18_21may18_KAZ_m2_sp1_12_rev,2.8125,0.055334,0.44787,51,2,17,5jun18_21may18_KAZ_m2_sp1_12_rev_17,1,0,,,1,19,,
5jun18_21may18_KAZ_m2_sp1_12_rev,4.542,0.054922,0.42308,83,1,18,5jun18_21may18_KAZ_m2_sp1_12_rev_18,1,1,,,1,76,,
5jun18_21may18_KAZ_m2_sp1_12_rev,3.5821,0.051518,0.42735,70,2,19,5jun18_21may18_KAZ_m2_sp1_12_rev_19,1,0,,other foci a bit faint,1,43,,
5jun18_21may18_KAZ_m2_sp1_12_rev,7.5679,0.11089,0.46313,68,1,2,5jun18_21may18_KAZ_m2_sp1_12_rev_2,1,1,,other faint foci,1,64,,
5jun18_21may18_KAZ_m2_sp1_12_rev,5.4382,0.082693,0.46229,66,1,3,5jun18_21may18_KAZ_m2_sp1_12_rev_3,1,1,,,1,55,,
5jun18_21may18_KAZ_m2_sp1_12_rev,9.3962,0.09079,0.45548,103,1,4,5jun18_21may18_KAZ_m2_sp1_12_rev_4,1,1,,,1,62,,
5jun18_21may18_KAZ_m2_sp1_12_rev,6.5179,0.068309,0.46015,95,1,5,5jun18_21may18_KAZ_m2_sp1_12_rev_5,1,1,,,1,90,,
5jun18_21may18_KAZ_m2_sp1_12_rev,3.4783,0.045,0.46002,77,5,6,5jun18_21may18_KAZ_m2_sp1_12_rev_6,1,0,,foci too faint,0,,,
5jun18_21may18_KAZ_m2_sp1_12_rev,4.4444,0.057699,0.46373,77,4,7,5jun18_21may18_KAZ_m2_sp1_12_rev_7,1,0,,,1,69,,
5jun18_21may18_KAZ_m2_sp1_12_rev,3.7681,0.069448,0.45656,54,2,8,5jun18_21may18_KAZ_m2_sp1_12_rev_8,1,0,,,1,43,,
5jun18_21may18_KAZ_m2_sp1_12_rev,4.0781,0.06695,0.45964,61,2,9,5jun18_21may18_KAZ_m2_sp1_12_rev_9,1,0,,,1,32,,
5jun18_21may18_KAZ_m2_sp1_13_rev,6.2839,0.059145,0.74509,106,5,1,5jun18_21may18_KAZ_m2_sp1_13_rev_1,1,0,,,1,73,,
5jun18_21may18_KAZ_m2_sp1_13_rev,5.0476,0.043851,0.68609,115,4,10,5jun18_21may18_KAZ_m2_sp1_13_rev_10,1,0,,,2,24,104,
5jun18_21may18_KAZ_m2_sp1_13_rev,9.8754,0.053103,0.65911,186,13,11,5jun18_21may18_KAZ_m2_sp1_13_rev_11,0,,,XY,,,,
5jun18_21may18_KAZ_m2_sp1_13_rev,3.7166,0.041228,0.68814,90,2,12,5jun18_21may18_KAZ_m2_sp1_13_rev_12,1,0,,,1,25,,
5jun18_21may18_KAZ_m2_sp1_13_rev,3.4246,0.032711,0.68068,105,3,13,5jun18_21may18_KAZ_m2_sp1_13_rev_13,1,0,,,2,32,98,
5jun18_21may18_KAZ_m2_sp1_13_rev,3.1884,0.040242,0.70472,79,3,14,5jun18_21may18_KAZ_m2_sp1_13_rev_14,1,0,,,1,51,,
5jun18_21may18_KAZ_m2_sp1_13_rev,3.1429,0.038743,0.67398,81,2,15,5jun18_21may18_KAZ_m2_sp1_13_rev_15,1,0,,"1 other faint foci, could be real",1,52,,
5jun18_21may18_KAZ_m2_sp1_13_rev,2.3188,0.029283,0.70307,79,3,16,5jun18_21may18_KAZ_m2_sp1_13_rev_16,1,0,,,2,19,66,
5jun18_21may18_KAZ_m2_sp1_13_rev,5.3951,0.082551,0.72811,65,6,17,5jun18_21may18_KAZ_m2_sp1_13_rev_17,1,0,,first foci faint,2,22,54,
5jun18_21may18_KAZ_m2_sp1_13_rev,3.9394,0.052588,0.64818,75,4,18,5jun18_21may18_KAZ_m2_sp1_13_rev_18,1,0,,,1,61,,
5jun18_21may18_KAZ_m2_sp1_13_rev,4.9023,0.09149,0.62699,54,3,19,5jun18_21may18_KAZ_m2_sp1_13_rev_19,1,0,,1 other faint foci near centromere,1,37,,
5jun18_21may18_KAZ_m2_sp1_13_rev,5.0988,0.05472,0.75314,93,2,2,5jun18_21may18_KAZ_m2_sp1_13_rev_2,1,0,,,1,35,,
5jun18_21may18_KAZ_m2_sp1_13_rev,2.5397,0.03842,0.73807,66,2,3,5jun18_21may18_KAZ_m2_sp1_13_rev_3,1,0,,,1,56,,
5jun18_21may18_KAZ_m2_sp1_13_rev,3,0.02625,0.66495,114,3,4,5jun18_21may18_KAZ_m2_sp1_13_rev_4,1,0,,,1,83,,
5jun18_21may18_KAZ_m2_sp1_13_rev,3.4921,0.025913,0.7111,135,4,5,5jun18_21may18_KAZ_m2_sp1_13_rev_5,1,0,,,2,52,123,
5jun18_21may18_KAZ_m2_sp1_13_rev,6.3145,0.065105,0.72091,97,3,6,5jun18_21may18_KAZ_m2_sp1_13_rev_6,1,0,,,2,17,91,
5jun18_21may18_KAZ_m2_sp1_13_rev,6.3223,0.084887,0.73983,74,2,8,5jun18_21may18_KAZ_m2_sp1_13_rev_8,1,0,,,1,69,,
5jun18_21may18_KAZ_m2_sp1_13_rev,6.0923,0.061199,0.6997,100,4,9,5jun18_21may18_KAZ_m2_sp1_13_rev_9,1,,,can't really tell if foci,,,,
5jun18_21may18_KAZ_m2_sp1_14_rev,2.8169,0.045701,0.55323,62,1,1,5jun18_21may18_KAZ_m2_sp1_14_rev_1,1,1,,,1,45,,
5jun18_21may18_KAZ_m2_sp1_14_rev,5.531,0.077792,0.5282,71,4,10,5jun18_21may18_KAZ_m2_sp1_14_rev_10,1,0,,first foci faint,2,29,59,
5jun18_21may18_KAZ_m2_sp1_14_rev,5.2923,0.072207,0.54602,73,6,11,5jun18_21may18_KAZ_m2_sp1_14_rev_11,1,0,,,1,60,,
5jun18_21may18_KAZ_m2_sp1_14_rev,2.5714,0.030164,0.52537,85,4,12,5jun18_21may18_KAZ_m2_sp1_14_rev_12,1,0,,,1,53,,
5jun18_21may18_KAZ_m2_sp1_14_rev,4.8649,0.053096,0.51237,92,6,13,5jun18_21may18_KAZ_m2_sp1_14_rev_13,1,0,,sorta faint foci,1,78,,
5jun18_21may18_KAZ_m2_sp1_14_rev,5.7068,0.058459,0.50989,98,2,15,5jun18_21may18_KAZ_m2_sp1_14_rev_15,1,0,,,1,56,,
5jun18_21may18_KAZ_m2_sp1_14_rev,6.4721,0.073804,0.50509,88,3,16,5jun18_21may18_KAZ_m2_sp1_14_rev_16,1,0,,,1,77,,
5jun18_21may18_KAZ_m2_sp1_14_rev,3.6364,0.034259,0.45282,106,6,17,5jun18_21may18_KAZ_m2_sp1_14_rev_17,1,0,,,1,96,,
5jun18_21may18_KAZ_m2_sp1_14_rev,4.8237,0.071425,0.46062,68,7,18,5jun18_21may18_KAZ_m2_sp1_14_rev_18,1,0,,,1,60,,
5jun18_21may18_KAZ_m2_sp1_14_rev,5.8661,0.061151,0.47825,96,6,19,5jun18_21may18_KAZ_m2_sp1_14_rev_19,1,0,,many faint foci,,,,
5jun18_21may18_KAZ_m2_sp1_14_rev,3.8467,0.042466,0.54773,91,7,2,5jun18_21may18_KAZ_m2_sp1_14_rev_2,1,0,,,1,48,,
5jun18_21may18_KAZ_m2_sp1_14_rev,10.0965,0.084487,0.54649,120,3,5,5jun18_21may18_KAZ_m2_sp1_14_rev_5,1,0,,,1,77,,
5jun18_21may18_KAZ_m2_sp1_14_rev,5.8505,0.047457,0.52883,123,7,6,5jun18_21may18_KAZ_m2_sp1_14_rev_6,1,0,,foci sorta faint,,,,
5jun18_21may18_KAZ_m2_sp1_14_rev,7.2885,0.12856,0.56291,57,1,7,5jun18_21may18_KAZ_m2_sp1_14_rev_7,1,1,,SC sorta faint,1,22,,
5jun18_21may18_KAZ_m2_sp1_14_rev,4.5022,0.062034,0.55019,73,3,8,5jun18_21may18_KAZ_m2_sp1_14_rev_8,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_14_rev,5.9671,0.071353,0.52994,84,3,9,5jun18_21may18_KAZ_m2_sp1_14_rev_9,1,0,,,1,77,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,3.75,0.065438,0.66312,57,6,1,5jun18_21may18_KAZ_m2_sp1_15.2_rev_1,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,2.9508,0.081021,0.6741,36,2,10,5jun18_21may18_KAZ_m2_sp1_15.2_rev_10,1,0,,,1,34,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,4.3108,0.082061,0.55306,53,4,12,5jun18_21may18_KAZ_m2_sp1_15.2_rev_12,0,,X,incomplete piece,,,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,3.1746,0.062342,0.57266,51,2,13,5jun18_21may18_KAZ_m2_sp1_15.2_rev_13,0,,X,"incomplete, broken",,,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,2.6667,0.083951,0.48114,32,2,15,5jun18_21may18_KAZ_m2_sp1_15.2_rev_15,0,,X,incomplete piece,,,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,3.3333,0.052753,0.58953,63,4,16,5jun18_21may18_KAZ_m2_sp1_15.2_rev_16,1,0,,,1,54,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,2.8837,0.026555,0.72502,109,11,19,5jun18_21may18_KAZ_m2_sp1_15.2_rev_19,0,0,X,XY,,,,
