fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,chromosomeLength,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,mouse,strain,sex,category
20jul15_18may15_PWD_m1_sp1_17_rev,2.9032,0.044358,0.75519,65,3,12,20jul15_18may15_PWD_m1_sp1_17_rev_12,1,0,,,2,16,50,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,3.0297,0.040641,0.78065,75,2,13,20jul15_18may15_PWD_m1_sp1_17_rev_13,1,0,,,1,30,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,2.1538,0.028535,0.75341,75,2,14,20jul15_18may15_PWD_m1_sp1_17_rev_14,1,0,,,1,19,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,4.6287,0.044549,0.79505,104,2,15,20jul15_18may15_PWD_m1_sp1_17_rev_15,1,1,,,2,14,87,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,4.8498,0.055627,0.78692,87,3,16,20jul15_18may15_PWD_m1_sp1_17_rev_16,1,0,,,2,25,63,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,4.2169,0.044367,0.72554,95,2,17,20jul15_18may15_PWD_m1_sp1_17_rev_17,1,1,,,2,15,72,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,1.7391,0.025912,0.76268,67,2,18,20jul15_18may15_PWD_m1_sp1_17_rev_18,1,1,,,2,10,53,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,2.9104,0.024158,0.81894,120,7,19,20jul15_18may15_PWD_m1_sp1_17_rev_19,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,3.1997,0.033368,0.775,96,2,2,20jul15_18may15_PWD_m1_sp1_17_rev_2,1,1,,,2,28,88,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,3.1655,0.040823,0.76053,78,5,20,20jul15_18may15_PWD_m1_sp1_17_rev_20,1,0,,,2,20,70,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,5.7292,0.076,0.78125,75,3,22,20jul15_18may15_PWD_m1_sp1_17_rev_22,1,0,,,2,31,65,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,3.1071,0.044557,0.7933,70,3,23,20jul15_18may15_PWD_m1_sp1_17_rev_23,1,0,,,1,42,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,3.9558,0.077914,0.7956,51,1,24,20jul15_18may15_PWD_m1_sp1_17_rev_24,1,1,,,1,45,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,2.5613,0.044522,0.70588,58,2,25,20jul15_18may15_PWD_m1_sp1_17_rev_25,1,0,,,1,13,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,2,0.022138,0.7129,90,2,29,20jul15_18may15_PWD_m1_sp1_17_rev_29,1,1,,,2,26,83,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,4.1447,0.04756,0.78328,87,3,3,20jul15_18may15_PWD_m1_sp1_17_rev_3,1,0,,,2,40,78,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,5.0501,0.055677,0.69079,91,2,30,20jul15_18may15_PWD_m1_sp1_17_rev_30,1,1,,,2,29,77,,18may15_PWD_m1,PWD,male,PWD male
