Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
batch8,X,29nov17_16nov17_MSM_f1_sp1_1_rev.tif,22884-13539-18574.tif,,21?,30,no,,0,0,
batch8,,4dec17_16nov17_MSM_f2_sp1_16_rev.tif,10037-18836-3492.tif,2,20,29,yes,,0,1,
batch8,,27dec17_4dec17_SPIC_f1_sp1_12_rev.tif,10037-27046-32199.tif,5,20,30,no,,0,0,
batch8,,21nov17_16nov17_MSM_f3_sp1_12_rev.tif,10141-12476-11321.tif,1,20,28,no,,0,0,
batch8,,26dec17_18nov17_WSB_f4_sp1_10_rev.tif,10160-23541-11337.tif,3,20,30,no,,0,0,
batch8,,11dec17_18nov17_WSB_f1_sp1_17_rev.tif,10193-25011-11584.tif,2,20,23,no,,0,1,
batch8,,21nov17_16nov17_MSM_f3_sp1_31_rev.tif,10337-2064-8508.tif,1,20,20,no,,0,0,
batch8,,11dec17_18nov17_WSB_f1_sp1_8_rev.tif,1038-18665-12642.tif,4,20,29,no,,0,0,
batch8,,21nov17_16nov17_MSM_f3_sp1_25_rev.tif,10584-12646-30954.tif,3,20,31,no,,0,0,
batch8,,14dec17_18nov17_WSB_f3_sp1_50_rev.tif,10801-30977-7385.tif,3,20,29,no,,0,0,
batch8,,14dec17_18nov17_WSB_f3_sp1_29_rev.tif,10810-21562-22123.tif,4,20,24,no,,0,2,
batch8,,5aug17_14jul17_MSM_f1_sp1_26_rev.tif,10902-20689-6667.tif,1,20,28,no,,0,0,
batch8,,29nov17_16nov17_MSM_f1_sp1_26_rev.tif,10961-10362-29885.tif,2,21,30,no,,0,0,
batch8,,21nov17_16nov17_MSM_f3_sp1_1_rev.tif,1144-12189-28861.tif,2,20,32,no,,0,0,
batch8,,21nov17_16nov17_MSM_f3_sp1_11_rev.tif,11494-11483-25694.tif,1,20,33,no,,0,0,
batch8,,29nov17_16nov17_MSM_f1_sp1_25_rev.tif,11528-8451-29138.tif,4,20,30,no,,0,0,
batch8,,11dec17_18nov17_WSB_f1_sp1_4_rev.tif,11949-27803-3038.tif,2,20,24,no,,0,0,
batch8,,4dec17_16nov17_MSM_f2_sp1_28.1_rev.tif,11963-23955-23349.tif,1,20,40,no,,0,0,
batch8,,4dec17_16nov17_MSM_f2_sp1_34_rev.tif,11988-886-4015.tif,3,20,35,no,,0,4,
batch8,,4dec17_16nov17_MSM_f2_sp1_19.1_rev.tif,12012-496-13559.tif,2,20,38,no,,0,1,
batch8,,12dec17_18nov17_WSB_f2_sp1_11_rev.tif,12042-3846-18250.tif,4,20,20,no,,0,0,
batch8,,14dec17_18nov17_WSB_f3_sp1_10_rev.tif,12118-22075-23044.tif,3,20,26,no,,0,0,
batch8,,21nov17_16nov17_MSM_f3_sp1_33_rev.tif,1242-17794-565.tif,1,20,31,no,,0,3,
batch8,,4dec17_16nov17_MSM_f2_sp1_31_rev.tif,12509-3183-9369.tif,1,20,37,n,,0,2,
batch8,,26dec17_18nov17_WSB_f4_sp1_6_rev.tif,12732-630-32108.tif,3,20,27,n,,0,1,
batch8,,29dec17_4dec17_SPIC_f2_sp1_7_rev.tif,12958-13334-14866.tif,4,20,33,no,,0,0,
batch8,,4dec17_16nov17_MSM_f2_sp1_22_rev.tif,13123-16165-31089.tif,3,20,21,no,,0,0,
batch8,,27dec17_4dec17_SPIC_f1_sp1_24_rev.tif,13133-29245-21218.tif,2,20,28,n,,0,0,
batch8,,26dec17_18nov17_WSB_f4_sp1_1_rev.tif,13329-29743-15103.tif,2,20,22,no,,0,1,
batch8,,12dec17_18nov17_WSB_f2_sp1_21_rev.tif,14066-9432-10855.tif,3,20,24,no,,0,0,
batch8,,12dec17_18nov17_WSB_f2_sp1_24_rev.tif,14173-28955-9215.tif,1,20,31,no,,0,0,
batch8,,5aug17_14jul17_MSM_f1_sp1_27_rev.tif,14343-10438-3942.tif,4,20,26,n,,0,1,
batch8,,29nov17_16nov17_MSM_f1_sp1_9_rev.tif,14456-4858-4465.tif,2,20,26,no,,0,1,
batch8,,21nov17_16nov17_MSM_f3_sp1_28_rev.tif,14540-1331-15929.tif,4,20,30,no,,0,0,
batch8,,5aug17_14jul17_MSM_f1_sp1_11_rev.tif,146-20076-15853.tif,5,20,30,no,,0,1,
batch8,,29dec17_4dec17_SPIC_f2_sp1_41_rev.tif,14653-14924-17224.tif,1,20,30,n,,0,0,
batch8,,29nov17_16nov17_MSM_f1_sp1_28_rev.tif,15019-18562-10821.tif,3,20,28,no,,0,0,
batch8,,29dec17_4dec17_SPIC_f2_sp1_40_rev.tif,15292-872-14686.tif,2,20,35,no,,0,0,
batch8,,29dec17_4dec17_SPIC_f2_sp1_23_rev.tif,15426-29981-6195.tif,1,20,27,no,,0,0,
batch8,,27dec17_4dec17_SPIC_f1_sp1_40_rev.tif,15687-15437-27530.tif,3,20,27,no,,0,0,
batch8,,27dec17_4dec17_SPIC_f1_sp1_37_rev.tif,15811-29893-23546.tif,2,20,29,no,,0,2,
batch8,,5sep17_21aug17_SPI_f2_sp1_30_rev.tif,15976-14195-9837.tif,4,20,33,no,,0,0,
batch8,,29nov17_16nov17_MSM_f1_sp1_13_rev.tif,16240-8883-27811.tif,3,20,32,no,,0,3,
batch8,,29dec17_4dec17_SPIC_f2_sp1_17_rev.tif,16261-27578-13212.tif,2,20,31,no,,0,5,
batch8,,21nov17_16nov17_MSM_f3_sp1_16_rev.tif,1632-32643-30072.tif,3,20,22,no,,0,3,
batch8,,14dec17_18nov17_WSB_f3_sp1_7_rev.tif,16327-8623-8540.tif,2,20,26,no,,0,0,
batch8,,5sep17_21aug17_SPI_f2_sp1_5.2_rev.tif,16560-15520-11433.tif,3,20,32,no,,0,0,
batch8,,29dec17_4dec17_SPIC_f2_sp1_10_rev.tif,16660-21891-24128.tif,4,20,37,no,,0,1,sc broken
batch8,,29nov17_16nov17_MSM_f1_sp1_11_rev.tif,17053-2132-22376.tif,2,20,32,no,,0,0,maybe duplicate
batch8,,21nov17_16nov17_MSM_f3_sp1_24_rev.tif,17286-6488-26894.tif,3,20,37,no,,0,4,
batch8,,14dec17_18nov17_WSB_f3_sp1_24_rev.tif,17364-9981-14256.tif,5,20,25,no,,0,0,
batch8,,5aug17_14jul17_LEW_f1_sp1_16_rev.tif,17600-5184-2220.tif,4,20,38,yes,,0,0,
batch8,,12dec17_18nov17_WSB_f2_sp1_5_rev.tif,17759-1689-5516.tif,2,20,30,no,,0,0,
batch8,,5sep17_21aug17_SPI_f2_sp1_11_rev.tif,17908-2541-16181.tif,2,20,28,no,,0,0,
batch8,,14dec17_18nov17_WSB_f3_sp1_2_rev.tif,17973-28400-15078.tif,4,20,27,no,,0,0,
batch8,,4dec17_16nov17_MSM_f2_sp1_17_rev.tif,18010-14909-15984.tif,3,20,31,no,,0,4,
batch8,,26dec17_18nov17_WSB_f4_sp1_15_rev.tif,18072-19981-19327.tif,5,20,24,no,,0,1,
