Original.Name,DOB,M stained,imaged,MLH1 quality,,total images,good images,quant batch,mean quality,pass,,D stained
8jun18_AST_m1,6/21/2017,22jun18_MLH1-2,,,,46,35,,,,,
7aug18_AST_m1,4/12/2017,17aug18_MLH1-2,,,33,29,,Batch11,,,,
3sep18_AST_m1,4/12/2017,NA,,,,,,,,,,
