,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
,9mar18_13oct17_SPRET_m1_sp1_10_rev.tif,27963-3702-16347.tif,5,20,23,no,yes,3,0,
,3jul18_19may18_KAZ_m1_sp1_22.1_rev.tif,3036-4871-12707.tif,3,20,23,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_29_rev.tif,3230-25492-14731.tif,2,20,23,no,yes,0,0,
,21jun18_18feb18_LEW_m3_sp2_10_rev.tif,3883-31683-22961.tif,3,20,23,no,yes,0,0,
,9mar18_13oct17_SPRET_m1_sp1_22_rev.tif,4568-8670-7118.tif,2,20,23,no,yes,0,0,
,21jun18_18feb18_LEW_m3_sp2_1_rev.tif,6887-6382-15287.tif,2,20,23,no,yes,1,0,
,5jun18_21may18_KAZ_m2_sp1_2_rev.tif,9233-19951-7731.tif,1,20,23,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_31_rev.tif,9731-19989-16986.tif,3,20,23,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_27.2_rev.tif,11012-16566-13345.tif,1,20,23,no,yes,0,0,
,3jul18_8jun18_AST_m1_sp1_12.2_rev.tif,11205-12653-13551.tif,3,20,23,no,yes,1,0,
,29aug18_7aug18_AST_m1_sp1_1_rev.tif,11830-6473-536.tif,3,20,23,no,yes,2,0,
,14jun18_11jan18_SPRET_m1_sp1_4.1_rev.tif,13830-28578-24655.tif,3,20,23,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_14.1_rev.tif,14547-8411-26854.tif,2,20,23,no,yes,1,0,
,3jul18_19may18_KAZ_m1_sp1_5.1_rev.tif,15762-25674-14862.tif,3,20,23,no,yes,1,0,
,29aug18_7aug18_AST_m1_sp1_8_rev.tif,16115-30685-22249.tif,5,20,23,no,yes,0,0,
,29aug18_7aug18_AST_m1_sp1_7.2_rev.tif,16562-23694-9604.tif,4,20,23,no,yes,1,0,
,27jun18_8jun18_AST_m1_sp1_11_rev.tif,17443-2785-214.tif,3,20,23,no,yes,0,0,
,14jun18_11jan18_SPRET_m1_sp1_6_rev.tif,19572-2282-30777.tif,2,20,23,no,yes,1,0,
,27jun18_8jun18_AST_m1_sp1_15_rev.tif,20672-21080-11449.tif,3,20,23,no,yes,2,0,
,22jun18_24aug17_PERC_m1_sp1_14.2_rev.tif,209-22427-27528.tif,2,20,23,no,yes,2,0,
,21jun18_18feb18_LEW_m3_sp2_12_rev.tif,20944-2176-12627.tif,2,20,23,no,yes,0,0,
,3jul18_8jun18_AST_m1_sp1_10_rev.tif,22121-27034-16164.tif,4,20,23,no,yes,2,0,
,29aug18_7aug18_AST_m1_sp1_3_rev.tif,24964-18163-16563.tif,4,20,23,no,yes,1,0,
,27jun18_8jun18_AST_m1_sp1_6_rev.tif,26343-18659-15077.tif,4,20,23,no,yes,1,0,
,16mar18_11jan18_SPRET_m1_sp1_2.2_rev.tif,32219-2691-1047.tif,2,20,23,no,yes,1,0,
,3jul18_19may18_KAZ_m1_sp1_15_rev.tif,819-13894-18073.tif,2,20,23,no,yes,0,0,
,3jul18_19may18_KAZ_m1_sp1_18_rev.tif,9183-16398-12942.tif,1,24,23,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_11_rev.tif,9391-17158-6014.tif,2,20,23,yes,yes,0,0,
,9mar18_13oct17_SPRET_m1_sp1_18_rev.tif,14004-3657-31179.tif,2,20,24,no,yes,0,0,
,9mar18_13oct17_SPRET_m1_sp1_17.1_rev.tif,14442-30386-8865.tif,3,20,24,no,yes,0,0,
,3mar15_13jan17_LEW_m1_sp1_11.1_rev.tif,1491-25545-5716.tif,5,20,24,no,yes,1,0,
,3sep18_27aug18_HMI_m1_sp1_25_rev.tif,16657-16086-11722.tif,3,20,24,no,yes,0,0,
,3sep18_27aug18_HMI_m1_sp1_28.3_rev.tif,16866-4208-31866.tif,4,20,24,no,yes,0,0,
,14jun18_11jan18_SPRET_m1_sp1_20_rev.tif,18700-24032-3025.tif,3,20,24,no,yes,0,0,
,3mar15_13jan17_LEW_m1_sp1_1_rev.tif,22629-18272-29241.tif,5,20,24,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_19.2_rev.tif,23919-8180-27734.tif,2,20,24,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_25_rev.tif,24777-24429-26999.tif,3,20,24,no,yes,0,0,
,27jun18_8jun18_AST_m1_sp1_14.1_rev.tif,25185-16731-15762.tif,3,20,24,yes,yes,2,0,
,27jun18_8jun18_AST_m1_sp1_20_rev.tif,2540-4513-26914.tif,2,20,24,no,yes,1,0,
,3jul18_8jun18_AST_m1_sp1_15.1_rev.tif,28279-7341-11247.tif,3,20,24,no,no,1,0,
,13sep18_28jun18_MOLF_m1_sp1_26_rev.tif,30968-14524-8564.tif,2,20,24,no,yes,0,0,
,5jun18_21may18_KAZ_m2_sp1_13_rev.tif,7651-10215-3747.tif,2,20,24,no,yes,0,0,
,3mar15_13jan17_LEW_m1_sp1_28_rev.tif,785-32337-28171.tif,2,20,24,no,yes,0,0,
,3sep18_27aug18_HMI_m1_sp1_3.3_rev.tif,824-32265-26523.tif,4,20,24,no,yes,1,0,
,14jun18_11jan18_SPRET_m1_sp1_16_rev.tif,7273-3116-10754.tif,3,20,24,no,yes,0,0,
,14jun18_11jan18_SPRET_m1_sp1_12_rev.tif,2397-3404-26106.tif,4,20,24,no,yes,2,0,
,22jun18_24aug17_PERC_m1_sp1_27.3_rev.tif,13454-31401-3040.tif,2,20,24,yes,yes,1,1,
,28jul17_30may17_SPRET_m1_sp1_6_rev.tif,19467-11305-23821.tif,2,20,24,no,yes,0,0,
,27jun18_8jun18_AST_m1_sp1_8_rev.tif,1983-7215-27878.tif,4,20,24,no,yes,1,0,
,3mar15_13jan17_LEW_m1_sp1_19_rev.tif,20321-23403-31242.tif,3,20,24,no,yes,0,0,
,29aug18_7aug18_AST_m1_sp1_4_rev.tif,23423-8292-18824.tif,4,20,24,no,yes,1,0,
,29aug18_7aug18_AST_m1_sp1_28_rev.tif,26782-21450-5353.tif,3,20,24,no,yes,1,0,
,29aug18_7aug18_AST_m1_sp1_31.1_rev.tif,29482-19574-17382.tif,3,20,24,no,yes,0,0,
,16mar18_11jan18_SPRET_m1_sp1_4_rev.tif,29677-20091-20829.tif,2,20,24,no,yes,0,0,
,14jun18_11jan18_SPRET_m1_sp1_22_rev.tif,30134-26875-3985.tif,3,20,24,no,yes,1,0,
,29aug18_7aug18_AST_m1_sp1_24_rev.tif,31248-10749-24829.tif,3,20,24,no,yes,1,0,
,16mar18_11jan18_SPRET_m1_sp1_3.1_rev.tif,31997-25585-1198.tif,3,20,24,no,yes,0,0,
,9jun18_8may17_LEW_m1_sp1_10_rev.tif,32761-13557-24886.tif,1,20,24,no,yes,0,0,
,3jul18_8jun18_AST_m1_sp1_13.2_rev.tif,6134-23264-11698.tif,1,20,24,no,yes,1,0,
,16mar18_11jan18_SPRET_m1_sp1_2.3_rev.tif,8099-16213-10159.tif,4,20,24,no,no,0,0,
,14jun18_11jan18_SPRET_m1_sp1_9_rev.tif,8-25704-14062.tif,2,20,24,no,yes,1,1,
,31aug18_1mar18_CAROLI_m1_sp3_16.3_rev.tif,13548-694-24069.tif,3,20,25,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_16.2_rev.tif,14122-30154-6931.tif,2,20,25,no,yes,0,0,
,3sep18_27aug18_HMI_m1_sp1_23.4_rev.tif,1525-16912-24028.tif,4,20,25,no,yes,1,0,
,31aug18_1mar18_CAROLI_m1_sp3_7.2_rev.tif,16814-13733-13178.tif,3,20,25,no,yes,0,0,
,16mar18_11jan18_SPRET_m1_sp1_7_rev.tif,18688-31088-6538.tif,2,20,25,no,yes,1,0,
,31aug18_1mar18_CAROLI_m1_sp3_18_rev.tif,18963-24435-5787.tif,2,20,25,no,yes,2,0,
,13sep18_28jun18_MOLF_m1_sp1_28_rev.tif,19695-27472-16810.tif,2,20,25,no,yes,1,0,
,31aug18_1mar18_CAROLI_m1_sp3_2.1_rev.tif,22915-230-32599.tif,3,20,25,no,yes,0,0,
,14jun18_11jan18_SPRET_m1_sp1_28.2_rev.tif,26076-2835-6396.tif,4,20,25,no,yes,0,0,
,14jun18_11jan18_SPRET_m1_sp1_13_rev.tif,27825-11190-9439.tif,3,20,25,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_3_rev.tif,29504-24908-31821.tif,2,20,25,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_17_rev.tif,31230-26771-12484.tif,4,20,25,no,yes,1,0,1 chrm is covered up
,3jul18_19may18_KAZ_m1_sp1_3.2_rev.tif,3-32622-25252.tif,2,20,25,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_26.2_rev.tif,3694-15858-10460.tif,2,20,25,no,yes,1,0,
,31aug18_1mar18_CAROLI_m1_sp3_10_rev.tif,4121-18044-3756.tif,2,20,25,no,yes,1,0,
,3sep18_27aug18_HMI_m1_sp1_23.2_rev.tif,4905-22350-26415.tif,4,20,25,no,yes,1,0,
,14jun18_11jan18_SPRET_m1_sp1_25_rev.tif,7569-9589-4750.tif,2,20,25,yes,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_23_rev.tif,8001-16181-15135.tif,2,20,25,no,yes,0,0,
,25jun18_8jun18_SPIC_m2_sp1_2_rev.tif,11515-14933-17339.tif,3,20,25,no,yes,1,0,
,14jun18_11jan18_SPRET_m1_sp1_26_rev.tif,11685-9001-25717.tif,2,20,25,no,yes,0,0,
,13sep18_28jun18_MOLF_m1_sp1_12.1_rev.tif,12716-29291-20919.tif,2,20,25,no,yes,1,0,
,28jul17_30may17_SPRET_m1_sp1_3_rev.tif,13140-7081-13710.tif,2,20,25,yes,yes,1,0,
,3jul18_8jun18_AST_m1_sp1_12.3_rev.tif,13738-30631-29525.tif,2,20,25,no,yes,0,0,
,14jun18_11jan18_SPRET_m1_sp1_28.1_rev.tif,19635-9359-5873.tif,1,20,25,no,yes,0,0,
,3jul18_8jun18_AST_m1_sp1_13.1_rev.tif,20680-18090-31553.tif,3,20,25,no,yes,1,0,
,22jun18_24aug17_PERC_m1_sp1_18.1_rev.tif,20764-6739-12715.tif,1,20,25,no,yes,0,0,
,27jun18_8jun18_AST_m1_sp1_7_rev.tif,2540-9954-1618.tif,2,20,25,no,yes,0,0,
,3jul18_8jun18_AST_m1_sp1_12.1_rev.tif,25576-29318-6284.tif,3,20,25,no,yes,1,0,
,3mar15_13jan17_LEW_m1_sp1_15_rev.tif,27180-8949-14334.tif,4,20,25,no,yes,0,0,
,3jul18_8jun18_AST_m1_sp1_16_rev.tif,31927-22560-21284.tif,1,20,25,no,yes,1,0,
,31aug18_1mar18_CAROLI_m1_sp3_9_rev.tif,32063-12292-30086.tif,2,20,25,no,yes,1,0,
,21jun18_18feb18_LEW_m3_sp2_4_rev.tif,5933-7268-6054.tif,3,20,25,no,no,0,0,
,3jul18_8jun18_AST_m1_sp1_3_rev.tif,18253-21604-25816.tif,4,20,26,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_30.1_rev.tif,19215-12412-30136.tif,2,20,26,no,yes,0,0,
,13sep18_28jun18_MOLF_m1_sp1_4.3_rev.tif,22653-20622-12730.tif,2,20,26,no,yes,0,0,
,16mar18_11jan18_SPRET_m1_sp1_1_rev.tif,24607-25392-31548.tif,4,20,26,no,yes,0,0,
,3sep18_27aug18_HMI_m1_sp1_18.2_rev.tif,25464-11884-20771.tif,3,20,26,no,yes,2,0,
,14jun18_11jan18_SPRET_m1_sp1_18.1_rev.tif,25742-9835-17218.tif,3,20,26,no,yes,1,0,
,13sep18_28jun18_MOLF_m1_sp1_30_rev.tif,25936-784-3768.tif,2,20,26,no,yes,1,0,
,3mar15_13jan17_LEW_m1_sp1_5_rev.tif,3155-1947-9643.tif,5,20,26,no,yes,0,0,
,20apr18_18feb18_LEW_m3_sp2_4_rev.tif,13107-23375-3937.tif,3,20,26,no,no,0,0,possible duplicate
,5jun18_21may18_KAZ_m2_sp1_8.3_rev.tif,31625-927-7113.tif,2,20,26,no,no,0,0,
,3jul18_8jun18_AST_m1_sp1_11_rev.tif,11683-32645-12720.tif,1,20,26,no,yes,0,0,
,3mar15_13jan17_LEW_m1_sp1_27_rev.tif,12483-6900-26592.tif,3,20,26,no,no,0,0,
,3mar15_13jan17_LEW_m1_sp1_18_rev.tif,15726-17391-3245.tif,3,20,26,no,yes,0,0,
,21jun18_18feb18_LEW_m3_sp2_15_rev.tif,16966-24646-24765.tif,1,20,26,no,yes,,0,
,29aug18_7aug18_AST_m1_sp1_14_rev.tif,20516-28935-14469.tif,3,20,26,no,no,1,0,
,3jul18_19may18_KAZ_m1_sp1_25.1_rev.tif,6089-32043-12330.tif,3,20,26,no,yes,0,0,
,21jun18_18feb18_LEW_m3_sp2_11_rev.tif,6131-19323-17062.tif,3,20,26,no,no,0,0,
,14jun18_11jan18_SPRET_m1_sp1_21_rev.tif,8481-5748-7848.tif,2,20,26,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_30.1_rev.tif,19014-2724-9433.tif,2,20,27,no,yes,0,0,
,28jul17_30may17_SPRET_m1_sp1_9_rev.tif,22890-26864-27457.tif,2,20,27,no,no,0,0,
,29aug18_7aug18_AST_m1_sp1_12_rev.tif,23878-12646-27842.tif,2,20,27,no,yes,0,0,
,28jul17_30may17_SPRET_m1_sp1_4.1_rev.tif,28575-26846-2751.tif,1,20,27,no,yes,0,0,
,13sep18_28jun18_MOLF_m1_sp1_11_rev.tif,4357-11256-25654.tif,3,20,27,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_21.1_rev.tif,5017-7137-16403.tif,2,20,27,no,yes,1,0,
,3jul18_8jun18_AST_m1_sp1_15.3_rev.tif,7380-18442-27484.tif,2,20,27,no,yes,0,0,
,9mar18_13oct17_SPRET_m1_sp1_5_rev.tif,5689-16715-27320.tif,3,20,27,no,yes,0,0,
,27jun18_8jun18_AST_m1_sp1_10_rev.tif,13690-16710-795.tif,4,20,27,no,no,0,0,
,14jun18_11jan18_SPRET_m1_sp1_8_rev.tif,11111-254-7043.tif,2,20,27,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_5.1_rev.tif,11320-6715-31581.tif,5,20,27,no,yes,0,0,
,14jun18_11jan18_SPRET_m1_sp1_2.1_rev.tif,11648-13024-21479.tif,2,20,27,no,yes,0,0,
,29aug18_7aug18_AST_m1_sp1_10_rev.tif,2191-16552-31040.tif,3,20,27,no,yes,0,0,
,29aug18_7aug18_AST_m1_sp1_20_rev.tif,2304-12796-14563.tif,4,20,27,no,yes,0,0,
,9jun18_8may17_LEW_m1_sp1_9_rev.tif,31475-25806-17285.tif,1,20,27,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_16.1_rev.tif,31936-22853-28119.tif,1,20,27,no,yes,0,0,
,9mar18_13oct17_SPRET_m1_sp1_1_rev.tif,32656-28307-22966.tif,2,20,27,no,yes,0,0,
,13sep18_28jun18_MOLF_m1_sp1_1_rev.tif,6059-22575-7424.tif,5,20,27,no,yes,1,0,
,14jun18_11jan18_SPRET_m1_sp1_27_rev.tif,6262-15474-22902.tif,1,20,27,no,yes,0,0,
,9jun18_8may17_LEW_m1_sp1_16_rev.tif,8800-23628-3161.tif,1,20,27,yes,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_14_rev.tif,15244-18788-2852.tif,1,20,28,no,yes,1,0,
,3mar15_13jan17_LEW_m1_sp1_14_rev.tif,16280-26764-25496.tif,3,20,28,no,yes,0,0,
,29aug18_7aug18_AST_m1_sp1_19_rev.tif,17910-3150-3953.tif,3,20,28,no,yes,0,0,
,9jun18_8may17_LEW_m1_sp1_12_rev.tif,18688-869-22457.tif,2,20,28,no,yes,0,0,
,27jun18_8jun18_AST_m1_sp1_12_rev.tif,18781-5569-3865.tif,3,20,28,no,yes,0,0,
,13sep18_28jun18_MOLF_m1_sp1_24_rev.tif,20730-7425-12438.tif,3,20,28,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_24_rev.tif,23486-1465-18803.tif,2,20,28,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_4.1_rev.tif,23760-17381-23865.tif,2,20,28,no,yes,0,0,
,9mar18_13oct17_SPRET_m1_sp1_25.1_rev.tif,7093-25535-19497.tif,1,20,28,no,yes,0,0,
,28jul17_30may17_SPRET_m1_sp1_10_rev.tif,14542-9348-22464.tif,2,20,28,no,yes,0,0,
,28jul17_30may17_SPRET_m1_sp1_7_rev.tif,29524-8091-20389.tif,2,20,28,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_6.2_rev.tif,32732-11906-12108.tif,1,20,28,no,yes,0,0,
,3jul18_19may18_KAZ_m1_sp1_21_rev.tif,9431-10613-24360.tif,1,20,28,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_29.1_rev.tif,17430-13372-31514.tif,2,20,29,no,yes,0,0,
,9mar18_13oct17_SPRET_m1_sp1_21_rev.tif,24885-23475-13880.tif,2,20,29,no,yes,0,0,
,28jul17_30may17_SPRET_m1_sp1_1_rev.tif,14560-19254-16516.tif,1,20,29,no,yes,0,0,
,16mar18_11jan18_SPRET_m1_sp1_3.2_rev.tif,17177-416-1447.tif,2,20,29,no,yes,0,0,
,3jul18_8jun18_AST_m1_sp1_8_rev.tif,20087-6847-5408.tif,1,20,29,no,yes,0,0,
,9jun18_8may17_LEW_m1_sp1_13_rev.tif,546-14058-15869.tif,1,20,29,no,?,0,0,can't find XY
,31aug18_1mar18_CAROLI_m1_sp3_11_rev.tif,132-26231-29210.tif,1,20,30,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_26.1_rev.tif,13277-19078-9200.tif,1,20,30,no,no,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_27_rev.tif,26739-8861-23427.tif,1,20,30,no,yes,0,0,
,3jul18_8jun18_AST_m1_sp1_7_rev.tif,28417-13800-10562.tif,4,20,30,no,yes,1,0,
,3jul18_8jun18_AST_m1_sp1_9_rev.tif,3971-3635-2378.tif,2,20,30,no,yes,0,0,
,3jul18_8jun18_AST_m1_sp1_15.2_rev.tif,11822-24145-5236.tif,1,20,30,no,yes,0,0,
,29aug18_7aug18_AST_m1_sp1_25_rev.tif,28694-19759-25261.tif,4,20,30,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_8_rev.tif,16700-1252-11027.tif,1,20,31,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_2.2_rev.tif,8996-9101-17239.tif,1,20,31,no,yes,0,0,
X,25jun18_8jun18_SPIC_m2_sp1_8_rev.tif,12650-13939-19385.tif,4?3?5?,20,16?,no,yes,,,
X,9mar18_13oct17_SPRET_m1_sp1_19.2_rev.tif,6004-14624-21137.tif,5?,20,21?,no,yes,,0,
X,16mar18_11jan18_SPRET_m1_sp1_2.1_rev.tif,14283-31417-29711.tif,3?,21?,25?,no,yes,,,
X,3mar15_13jan17_LEW_m1_sp1_13_rev.tif,11483-28830-29438.tif,,20,,no,yes,,0,
X,21jun18_18feb18_LEW_m3_sp2_8_rev.tif,12067-4440-25101.tif,,20,,no,,,,
X,3mar15_13jan17_LEW_m1_sp1_9_rev.tif,19274-5619-32423.tif,4?5?,20,,no,,,0,
