,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
X,3jul18_19may18_KAZ_m1_sp1_1_rev.tif,25074-32530-20519.tif,,20,,no,yes,,,
X,31aug18_1mar18_CAROLI_m1_sp3_21.2_rev.tif,25546-12649-8497.tif,5?,20,,no,yes,,0,
X,27jun18_8jun18_AST_m1_sp1_4_rev.tif,25919-12664-13975.tif,,,,,,,,
X,3sep18_27aug18_HMI_m1_sp1_26.2_rev.tif,26356-26107-6354.tif,4?5?,20,,,,,,signal not very good
X,29aug18_7aug18_AST_m1_sp1_27.1_rev.tif,30727-25067-25621.tif,,,,,,,,
X,22jun18_24aug17_PERC_m1_sp1_4_rev.tif,30854-3706-27842.tif,5?,20,,,,,,
X,3mar15_13jan17_LEW_m1_sp1_26_rev.tif,31104-18027-25251.tif,5,20,,no,yes,,0,
X,22jun18_24aug17_PERC_m1_sp1_10_rev.tif,31667-9747-25080.tif,,,,,,,,
X,13sep18_28jun18_MOLF_m1_sp1_2_rev.tif,31864-31619-4367.tif,,,,,,,,
X,29aug18_7aug18_AST_m1_sp1_5_rev.tif,32663-15911-16558.tif,,,,,,,,
X,3sep18_27aug18_HMI_m1_sp1_30.1_rev.tif,8193-19949-23419.tif,5,20,,no,yes,,0,signal not very good
X,13sep18_28jun18_MOLF_m1_sp1_19.2_rev.tif,9614-24960-461.tif,,20,,,,,,telomere joined
X?,14jun18_11jan18_SPRET_m1_sp1_5_rev.tif,29231-22752-10445.tif,,20,,,,,,
X?,27jun18_8jun18_AST_m1_sp1_13.2_rev.tif,9879-22938-32733.tif,,19? 21?,,,,,,
,21jun18_18feb18_LEW_m3_sp2_6_rev.tif,17716-25267-14070.tif,5,20,17,no,yes,2,0,
,22jun18_24aug17_PERC_m1_sp1_21_rev.tif,2840-8854-26105.tif,5,20,17,no,yes,2,0,
,22jun18_24aug17_PERC_m1_sp1_24_rev.tif,14395-2304-11954.tif,4,20,17,no,yes,3,0,
,22jun18_24aug17_PERC_m1_sp1_9_rev.tif,28385-19319-22884.tif,5,20,18,no,yes,2,0,
,22jun18_24aug17_PERC_m1_sp1_28.2_rev.tif,28954-32705-21464.tif,5,20,18,no,yes,2,0,
,29aug18_30oct17_HMI_m1_sp3_9_rev.tif,1869-17831-12743.tif,5,20,18,no,yes,3,0,
,3jul18_19may18_KAZ_m1_sp1_26.3_rev.tif,2274-16145-24735.tif,2,20,18,no,yes,1,0,
,5jun18_21may18_KAZ_m2_sp1_15.2_rev.tif,10679-15108-13872.tif,5,20,18,no,yes,2,0,
,5jun18_21may18_KAZ_m2_sp1_21_rev.tif,19434-23883-4825.tif,3,20,18,no,yes,4,0,
,29aug18_7aug18_AST_m1_sp1_31.2_rev.tif,19789-13535-14849.tif,5,20,18,no,yes,2,0,
,22jun18_24aug17_PERC_m1_sp1_7_rev.tif,22587-7290-14531.tif,4,20,18,no,yes,2,0,
,31aug18_1mar18_CAROLI_m1_sp3_25_rev.tif,18871-30015-411.tif,2,20,19,no,yes,1,0,
,3sep18_27aug18_HMI_m1_sp1_3.1_rev.tif,2062-31208-9721.tif,5,20,19,no,yes,1,0,
,13sep18_28jun18_MOLF_m1_sp1_4.1_rev.tif,25450-15074-6671.tif,5,20,19,no,yes,3,0,
,9mar18_13oct17_SPRET_m1_sp1_4.1_rev.tif,29824-10650-6401.tif,5,20,19,no,no,3,1,
,31aug18_1mar18_CAROLI_m1_sp3_19_rev.tif,31160-11091-26530.tif,5,20,19,no,yes,3,0,
,13sep18_28jun18_MOLF_m1_sp1_18.2_rev.tif,8494-14122-6225.tif,3,20,19,no,yes,2,0,end joined chrm
,13sep18_28jun18_MOLF_m1_sp1_16.1_rev.tif,10224-11598-7363.tif,5,20,19,no,yes,3,0,
,9jun18_8may17_LEW_m1_sp1_20_rev.tif,10470-6273-31517.tif,2,20,19,no,no,1,0,
,3sep18_27aug18_HMI_m1_sp1_1_rev.tif,10486-16775-14309.tif,5,20,19,no,yes,3,0,signal not good
,3jul18_19may18_KAZ_m1_sp1_3.1_rev.tif,10769-5142-20712.tif,4,20,19,no,yes,2,0,
,22jun18_24aug17_PERC_m1_sp1_26_rev.tif,11116-12158-18148.tif,4,20,19,no,yes,2,0,
,25jun18_8jun18_SPIC_m2_sp1_5_rev.tif,11261-30575-16072.tif,5,20,19,no,yes,1,0,signal not the best
,3mar15_13jan17_LEW_m1_sp1_25_rev.tif,12876-32474-25423.tif,3,20,19,no,yes,3,0,
,9jun18_8may17_LEW_m1_sp1_15_rev.tif,13363-31796-32115.tif,3,20,19,no,yes,2,0,
,3jul18_19may18_KAZ_m1_sp1_7_rev.tif,14814-20221-27154.tif,5,20,19,no,yes,1,0,
,13sep18_28jun18_MOLF_m1_sp1_5.2_rev.tif,17922-2866-10395.tif,5,20,19,no,yes,2,0,
,25jun18_8jun18_SPIC_m2_sp1_4.1_rev.tif,26081-5647-13097.tif,5,20,19,no,yes,1,0,
,9mar18_13oct17_SPRET_m1_sp1_16_rev.tif,30917-6217-19155.tif,2,20,19,no,yes,2,0,
,20apr18_18feb18_LEW_m3_sp2_9_rev.tif,13608-3724-6914.tif,4,20,20,no,yes,1,0,
,9mar18_13oct17_SPRET_m1_sp1_23.1_rev.tif,14314-28161-29674.tif,5,20,20,no,yes,2,1,1 asynapsis chrm
,5jun18_21may18_KAZ_m2_sp1_5.1_rev.tif,14750-1256-30104.tif,1,21,20,no,yes,1,0,
,22jun18_24aug17_PERC_m1_sp1_30.2_rev.tif,15149-2623-25066.tif,3,20,20,no,yes,0,0,
,9mar18_13oct17_SPRET_m1_sp1_25.2_rev.tif,18309-5400-5403.tif,2,20,20,no,yes,1,0,
,3mar15_13jan17_LEW_m1_sp1_8_rev.tif,18569-5399-5322.tif,5,20,20,no,yes,1,0,
,3jul18_19may18_KAZ_m1_sp1_5.2_rev.tif,18861-23548-17854.tif,5,20,20,no,yes,1,0,
,3sep18_27aug18_HMI_m1_sp1_23.3_rev.tif,19213-11165-20831.tif,4,20,20,no,yes,2,0,
,9mar18_13oct17_SPRET_m1_sp1_12_rev.tif,20692-17210-2372.tif,4,20,20,no,yes,3,0,
,9mar18_13oct17_SPRET_m1_sp1_23.2_rev.tif,21330-25760-22872.tif,3,20,20,no,yes,1,0,
,3jul18_19may18_KAZ_m1_sp1_16_rev.tif,23342-17968-24214.tif,4,20,20,no,yes,1,0,
,5jun18_21may18_KAZ_m2_sp1_10.4_rev.tif,24603-17590-1373.tif,3,20,20,no,yes,1,0,
,31aug18_1mar18_CAROLI_m1_sp3_6.1_rev.tif,25058-11841-12366.tif,3,20,20,no,yes,2,0,
,9jun18_8may17_LEW_m1_sp1_2_rev.tif,25893-24349-10142.tif,3,20,20,no,yes,1,0,
,3mar15_13jan17_LEW_m1_sp1_4_rev.tif,29423-13353-27150.tif,4,20,20,no,yes,0,0,
,3sep18_27aug18_HMI_m1_sp1_20_rev.tif,29705-918-25585.tif,5,20,20,yes,yes,1,0,
,9jun18_8may17_LEW_m1_sp1_8_rev.tif,2999-22595-30036.tif,4,20,20,no,yes,2,0,
,3jul18_19may18_KAZ_m1_sp1_26.1_rev.tif,3586-6225-16284.tif,4,20,20,no,yes,2,0,
,22jun18_24aug17_PERC_m1_sp1_23_rev.tif,3695-406-9030.tif,3,20,20,no,yes,0,0,
,13sep18_28jun18_MOLF_m1_sp1_6_rev.tif,4136-16223-5523.tif,5,20,20,no,no,1,0,
,3jul18_19may18_KAZ_m1_sp1_20_rev.tif,6521-9728-11371.tif,2,20,20,no,yes,0,0,
,5jun18_21may18_KAZ_m2_sp1_18_rev.tif,7907-24534-20169.tif,3,20,20,no,yes,1,0,
,22jun18_24aug17_PERC_m1_sp1_22_rev.tif,16173-18089-16223.tif,4,20,20,no,yes,1,0,
,3jul18_19may18_KAZ_m1_sp1_26.2_rev.tif,24320-18745-22739.tif,4,20,20,no,yes,2,0,
,22jun18_24aug17_PERC_m1_sp1_16_rev.tif,10480-29062-27858.tif,2,20,20,no,yes,1,0,
,14jun18_11jan18_SPRET_m1_sp1_30_rev.tif,10862-28917-16750.tif,3,20,20,no,yes,1,0,
,29aug18_7aug18_AST_m1_sp1_23_rev.tif,10945-26757-13765.tif,5,20,20,no,yes,4,0,
,9mar18_13oct17_SPRET_m1_sp1_9_rev.tif,11202-476-27247.tif,5,20,20,no,no,1,0,
,3jul18_19may18_KAZ_m1_sp1_12_rev.tif,12393-14530-12376.tif,2,20,20,no,yes,3,0,
,9jun18_8may17_LEW_m1_sp1_7_rev.tif,13826-9200-17240.tif,1,20,20,yes,yes,2,2,
,3jul18_19may18_KAZ_m1_sp1_25.2_rev.tif,16170-26077-21406.tif,4,20,20,no,yes,2,0,
,5jun18_21may18_KAZ_m2_sp1_12_rev.tif,19899-17368-4946.tif,1,20,20,no,yes,1,0,
,27jun18_8jun18_AST_m1_sp1_5.2_rev.tif,21930-10878-28679.tif,5,20,20,no,yes,1,0,
,29aug18_30oct17_HMI_m1_sp3_2.1_rev.tif,24181-9734-13434.tif,5,20,20,no,yes,3,0,
