Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_10.1_rev.tif,10220-4904-6396.tif,2,20,31,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_10.2_rev.tif,2648-24939-32692.tif,2,20,24,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_11.1_rev.tif,2944-147-12965.tif,1,20,32,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_12_rev.tif,6269-8955-32481.tif,1,20,25,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_13.1_rev.tif,10941-4977-21427.tif,1,20,26,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_13.2_rev.tif,9795-11584-12850.tif,1,20,25,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_14_rev.tif,21452-8983-2207.tif,1,20,28,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_15_rev.tif,20159-1378-16097.tif,1,20,29,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_18.1_rev.tif,20707-6994-18133.tif,1,20,29,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_18.2_rev.tif,16202-21148-6532.tif,1,20,26,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_18.3_rev.tif,7524-13929-12826.tif,3,20,26,yes,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_19_rev.tif,3255-28158-10306.tif,1,20,31,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_2.1_rev.tif,2784-27573-14420.tif,1,20,25,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_2.2_rev.tif,10636-9046-5525.tif,3,20,24,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_21_rev.tif,2099-23480-2238.tif,1,20,30,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_22.1_rev.tif,19935-4369-27182.tif,2,20,26,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_22.2_rev.tif,10089-17392-10214.tif,2,20,25,no,yes,1,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_23.1_rev.tif,27866-13099-10655.tif,1,20,24,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_23.2_rev.tif,3901-21479-29708.tif,1,20,22,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_23.3_rev.tif,7456-18826-16586.tif,1,20,26,yes,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_23.4_rev.tif,19264-27177-26046.tif,2,20,29,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_24.1_rev.tif,28803-1114-26196.tif,1,20,28,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_24.2_rev.tif,31257-6943-18108.tif,2,20,28,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_24.3_rev.tif,27845-16703-27778.tif,1,20,28,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_25_rev.tif,15186-15628-3471.tif,1,20,27,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_3.1_rev.tif,31331-14976-16716.tif,1,20,26,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_3.2_rev.tif,1712-23448-5720.tif,1,20,30,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_4.1_rev.tif,32669-25964-17556.tif,1,20,29,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_4.2_rev.tif,21777-15024-8642.tif,1,20,29,no,no,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_4.3_rev.tif,19758-28596-1458.tif,1,20,25,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_5.1_rev.tif,18230-17316-26905.tif,3,20,24,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_5.2_rev.tif,20338-25452-12511.tif,1,20,23,no,yes,1,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_5.3_rev.tif,20754-10437-17141.tif,1,20,29,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_5.4_rev.tif,29176-2022-18986.tif,2,20,24,no,no,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_5.5_rev.tif,28777-2812-22017.tif,1,20,25,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_6.1_rev.tif,7338-10678-5868.tif,1,20,23,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_6.2_rev.tif,11241-18946-16311.tif,3,20,29,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_7.1_rev.tif,30984-7796-6148.tif,3,20,32,no,yes,0,0,noise over one chrm
Batch18,X,12sep19_19aug19_SKIVE_m1_sp1_8.1_rev.tif,5129-13133-29497.tif,1?,21,30,no,yes,0,0,RECROP
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_8.2_rev.tif,4923-10522-1597.tif,4,20,24,no,yes,1,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_8.3_rev.tif,20804-19662-30850.tif,1,20,31,no,yes,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_9.1_rev.tif,15838-27150-12198.tif,1,20,27,no,yes,0,0, 
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_9.2_rev.tif,919-20485-11948.tif,1,20,29,no,yes,1,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_9.3_rev.tif,12499-21051-12244.tif,1,20,26,no,no,0,0,
Batch18,,12sep19_19aug19_SKIVE_m1_sp1_9.4_rev.tif,25926-24364-21497.tif,1,20,28,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_1_rev.tif,27631-17374-6881.tif,1,20,25,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_10.1_rev.tif,31362-13003-5686.tif,3,20,23,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_10.2_rev.tif,22353-24922-27875.tif,3,20,28,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_10.3_rev.tif,22600-2895-29959.tif,3,20,30,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_11_rev.tif,18469-5100-16227.tif,2,20,29,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_12.1_rev.tif,13838-13963-22663.tif,2,20,29,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_12.2_rev.tif,21868-3740-2594.tif,2,20,24,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_12.3_rev.tif,15933-6678-6530.tif,1,20,24,no,yes,2,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_13.1_rev.tif,12294-1295-30566.tif,2,20,20,no,yes,1,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_13.2_rev.tif,23166-6030-12102.tif,1,20,23,no,yes,1,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_14.1_rev.tif,13715-19388-6596.tif,2,20,30,no,yes,0,0,repeat? Not a repeat
Batch18,,12sep19_31may19_SKIVE_m1_sp1_16_rev.tif,6933-15896-25756.tif,1,20,28,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_17_rev.tif,29976-24442-5383.tif,1,20,24,no,yes,2,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_18.1_rev.tif,32182-12629-28773.tif,3,20,23,no,yes,2,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_18.2_rev.tif,31904-13852-32723.tif,2,20,25,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_19_rev.tif,19996-30498-15838.tif,2,20,25,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_2_rev.tif,572-25985-1031.tif,5,20,18,no,yes,5,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_20_rev.tif,10708-28600-31174.tif,2,20,27,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_22.1_rev.tif,27801-13463-16619.tif,2,20,31,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_23.1_rev.tif,24051-13314-4305.tif,1,20,31,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_23.2_rev.tif,27170-10470-32420.tif,3,20,22,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_24_rev.tif,12471-1096-299.tif,1,20,22,no,yes,0,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_25_rev.tif,17645-9939-9296.tif,3,20,25,no,yes,1,0,
Batch18,,12sep19_31may19_SKIVE_m1_sp1_3.1_rev.tif,20774-10914-27345.tif,3,20,22,no,yes,1,0,
