Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch17,,2may16_20feb16_G_f1_sp1_19_rev.tif,17778-9828-8753.tif,4,20,29,,,1,0,
Batch17,,2may16_20feb16_G_f1_sp1_23_rev.tif,7111-6097-3711.tif,1,20,33,,,1,0,
Batch17,,2may16_20feb16_G_f1_sp1_24_rev.tif,29382-4847-6569.tif,1,20,35,,,0,0,
Batch17,,2may16_20feb16_G_f1_sp1_25_rev.tif,9545-25268-2689.tif,1,20,24,,,1,0,
Batch17,,2may16_20feb16_G_f1_sp1_26_rev.tif,12320-28829-16839.tif,1,20,29,,,0,0,
Batch17,,2may16_20feb16_G_f1_sp1_27_rev.tif,25171-8389-12450.tif,2,20,30,,,0,0,
Batch17,,2may16_20feb16_G_f1_sp1_5.1_rev.tif,23838-19035-21953.tif,4,20,25,,,3,0,
Batch17,,2may16_20feb16_G_f1_sp1_7.1_rev.tif,30889-17749-28952.tif,2,20,22,,,0,0,
Batch17,,2may16_20feb16_G_f1_sp1_7.2_rev.tif,25264-28851-6648.tif,1,20,32,,,1,0,
Batch17,,2may16_20feb16_G_f1_sp1_8_rev.tif,28973-19375-20531.tif,1,20,28,,,0,0,
Batch17,,2may16_20feb16_G_f1_sp1_9_rev.tif,10557-16976-17078.tif,3,20,31,,,0,0,
Batch17,,3sep19_20feb16_G_f2_sp1_1_rev.tif,2437-15884-4207.tif,3,20,29,,,0,0,
Batch17,,3sep19_20feb16_G_f2_sp1_10_rev.tif,30229-14322-12642.tif,3,20,26,,,0,1,
Batch17,,3sep19_20feb16_G_f2_sp1_11_rev.tif,20265-16894-1460.tif,4,20,24,,,2,0,
Batch17,,3sep19_20feb16_G_f2_sp1_13_rev.tif,9183-5033-4822.tif,5,20,31,,,2,0,
Batch17,,3sep19_20feb16_G_f2_sp1_15_rev.tif,24930-10873-9776.tif,1,20,29,,,0,0,
Batch17,,3sep19_20feb16_G_f2_sp1_16_rev.tif,3716-25041-9984.tif,1,20,32,,,0,1,
Batch17,,3sep19_20feb16_G_f2_sp1_18_rev.tif,11869-5880-5825.tif,1,20,25,,,1,0,
