Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch14,X,DUP31mar15_13oct14_G_f1_sp1_48_rev.tif,22823-31627-5908.tif,5,20,28,no,,1,0,duplicate of 43
Batch14,X,DUP31mar15_13oct14_G_f1_sp1_19.2_rev.tif,11461-21941-10566.tif,2,20,32,no,,0,0,duplicate of 20.1
Batch14,X,9jan15_8oct14_PWD_f3_sp1_1_rev.tif,21270-20406-3452.tif,5,20,15,,,,,
Batch14,X,6dec14_8oct14_PWD_f2_sp1_9.1_rev.tif,18455-16909-20875.tif,,,,,,,,
Batch14,X,6dec14_8oct14_PWD_f2_sp1_6_rev.tif,29277-18536-8961.tif,5,20,17?,no,,,2,1 fully asynapsed bivalent
Batch14,X,5jan18_18nov17_WSB_f5_sp1_3_rev.tif,13684-29289-637.tif,,21,,no,,,,
Batch14,X,5dec17_19oct17_SPIC_f3_sp1_1_rev.tif,20635-27800-5267.tif,,20,,no,,,,
Batch14,X,5dec17_19oct17_SPIC_f1_sp1_5_rev.tif,20696-25223-30341.tif,,20,,no,,,0,
Batch14,X,5dec17_19oct17_SPIC_f1_sp1_4_rev.tif,9204-25429-29604.tif,5,20,18?,no,,6?,0?,
Batch14,X,5dec17_19oct17_SPIC_f1_sp1_3_rev.tif,9395-8092-14961.tif,,20,19?,no,,,0,
Batch14,X,4jul18_30may18_SPIC_f1_sp1_8_rev.tif,26131-16072-2591.tif,5?4?,20,,no,,,2,
Batch14,X,4jul18_30may18_SPIC_f1_sp1_7_rev.tif,8358-1040-30067.tif,5?,20,22?,no,,,0,signal not good
Batch14,X,4jul18_30may18_SPIC_f1_sp1_5_rev.tif,15941-25514-18779.tif,,,,,,,,
Batch14,X,4jul18_30may18_SPIC_f1_sp1_2_rev.tif,7948-15600-31049.tif,,20,17?,no,,2?,0,
Batch14,X,4jan15_8oct14_WSB_f3_sp2_7_rev.tif,31063-32309-15799.tif,5?,20,,no,,,,
Batch14,X,4feb18_31dec17_SPIC_f1_sp1_5_rev.tif,17422-494-25141.tif,5,20,28,no,,,0,
Batch14,X,4feb18_31dec17_SPIC_f1_sp1_24_rev.tif,1553-19119-10960.tif,5,20,22,no,,1,1,
Batch14,X,4feb18_31dec17_SPIC_f1_sp1_17_rev.tif,16586-26729-24010.tif,,,,,,,,
Batch14,X,4dec14_8oct14_PWD_f1_sp1_6_rev.tif,24506-5718-22595.tif,,21,22,yes,,,,
Batch14,X,3dec14_8oct14_PWD_f2_sp1_6.1_rev.tif,18335-27565-26038.tif,4?5?,20,,no,,,0,
Batch14,X,3dec14_8oct14_PWD_f1_sp1_9_rev.tif,12583-11039-17387.tif,,21,,no,,,2?,
Batch14,X,31mar15_13oct14_G_f1_sp1_45_rev.tif,24191-18430-9119.tif,5?,,,,,,,
Batch14,X,2apr15_15sep14_WSB_f2_sp1_1_rev.tif,2312-30976-29070.tif,5,20,,no,,,0,
Batch14,X,26sep18_30may18_SPIC_f4_sp1_27_rev.tif,13293-21995-25428.tif,,20,18?,no,,2?,0,
Batch14,X,22mar15_15sep14_WSB_f2_sp1_3_rev.tif,4997-16557-23249.tif,4?5?,20,17?,no,,,0,
Batch14,X,22mar15_15sep14_WSB_f2_sp1_19_rev.tif,32238-15937-4807.tif,5,20,13?,no,,4,0,
Batch14,X,22mar15_15sep14_WSB_f2_sp1_16_rev.tif,20176-4614-12370.tif,,20,,no,,,0,
Batch14,X,20apr18_11jan18_KAZ_f1_sp1_26_rev.tif,1079-24033-23948.tif,,20,21?,no,,3?,0,
