Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO crop,XY paired,achiasmate,asynased,notes
Batch0,,27aug15_12jun15_WSB_m2_sp1_1.1_rev.tif,26753-3098-11904.tif,2,20,21,no,yes,0,0,
Batch0,,30jul15_12jun15_WSB_m2_sp1_1_rev.tif,10931-17138-2131.tif,5,20,22,yes,yes,0,0,very high background
Batch0,,27aug15_12jun15_WSB_m2_sp1_10_rev.tif,30568-17748-30422.tif,2,20,21,no,yes,0,0,
Batch0,,30jul15_12jun15_WSB_m2_sp1_2.1_rev.tif,2824-21202-29285.tif,3,20,28,no,yes,0,0,
Batch0,,27aug15_12jun15_WSB_m2_sp1_21_rev.tif,7322-32446-4972.tif,1,20,25,no,yes,0,0,
Batch0,,30jul15_12jun15_WSB_m2_sp1_3_rev.tif,1815-11900-13115.tif,2,20,25,yes,yes,0,0,
Batch0,,30jul15_12jun15_WSB_m2_sp1_7.1_rev.tif,2458-12743-32728.tif,3,20,22,no,yes,0,0,
Batch0,,30jul15_12jun15_WSB_m2_sp1_7.2_rev.tif,9353-8632-24729.tif,3,20,22,no,yes,0,0,
Batch0,,30jul15_12jun15_WSB_m2_sp1_7.3_rev.tif,22552-3813-9622.tif,1,20,23,no,yes,0,0,
Batch0,,27aug15_12jun15_WSB_m2_sp1_8.2_rev.tif,3598-3297-37.tif,1,20,26,yes,yes,0,0,
Batch0,,30jul15_12jun15_WSB_m2_sp1_8_rev.tif,14186-10918-6009.tif,2,20,22,no,yes,0,0,
Batch0,,27aug15_12jun15_WSB_m2_sp1_9.1_rev.tif,3534-19042-20527.tif,2,20,25,no,yes,0,0,
Batch0,,30jul15_12jun15_WSB_m2_sp1_9_rev.tif,31581-5836-23705.tif,4,20,23,no,no,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_10_rev.tif,25827-8010-551.tif,2,20,24,no,no,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_11.1_rev.tif,8773-10999-19505.tif,1,20,25,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_11.2_rev.tif,4933-26548-12182.tif,1,20,22,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_12.2_rev.tif,463-24881-1493.tif,2,20,24,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_13_rev.tif,16570-523-25292.tif,1,20,20,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_14_rev.tif,8799-3667-6625.tif,1,20,24,no,yes,0,0,nonhomlogous tangle
Batch0,,19oct15_12oct15_G_m1_sp1_15.1_rev.tif,23212-14551-7133.tif,1,20,22,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_15.2_rev.tif,7337-30042-4089.tif,1,20,24,no,yes,0,0,nonhomlog tangle
Batch0,,19oct15_12oct15_G_m1_sp1_17.1_rev.tif,28727-9372-6078.tif,1,20,21,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_17.2_rev.tif,,1,20,24,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_18.1_rev.tif,7769-30643-15508.tif,2,20,22,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_18.2_rev.tif,29143-8778-19562.tif,3,20,21,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_2.2_rev.tif,22291-10672-28927.tif,2,20,21,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_21.1_rev.tif,22738-13959-12943.tif,1,20,22,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_21.2_rev.tif,16624-2194-10956.tif,1,20,23,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_22_rev.tif,9327-29567-31636.tif,2,20,21,no,yes,0,0,non homlogis tangle
Batch0,,19oct15_12oct15_G_m1_sp1_23_rev.tif,18419-10160-8668.tif,1,20,20,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_24_rev.tif,28508-31298-18702.tif,1,20,23,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_3.2_rev.tif,28966-21145-7035.tif,2,20,27,yes,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_4_rev.tif,18896-29139-14074.tif,2,20,28,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_6_rev.tif,28002-16449-3665.tif,3,20,22,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_7_rev.tif,5443-7545-7268.tif,1,20,21,no,no,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_8_rev.tif,19693-6048-13838.tif,1,20,24,no,yes,0,0,
Batch0,,19oct15_12oct15_G_m1_sp1_9_rev.tif,25828-26869-24121.tif,1,20,23,no,yes,0,0,
Batch0,,15mar16_16jan16_G_f1_sp1_3_rev.tif,23662-26982-11146.tif,1,20,36,no,na,0,0,possible nonhomolog tangle
Batch0,,15mar16_16jan16_G_f1_sp1_4_rev.tif,297-26266-5137.tif,2,20,35,no,na,0,0,
Batch0,,15mar16_16jan16_G_f1_sp1_8_rev.tif,8504-14914-26626.tif,1,20,28,no,na,0,0,
Batch0,,15mar16_16jan16_G_f1_sp1_9_rev.tif,6239-11741-16211.tif,1,20,29,no,na,0,0,
Batch0,,15mar16_16jan16_G_f2_sp1_1_rev.tif,21367-24896-31387.tif,2,20,28,na,na,0,0,
Batch0,,15mar16_16jan16_G_f2_sp1_17_rev.tif,1042-15774-24596.tif,1,20,29,no,na,0,0,
Batch0,,15mar16_16jan16_G_f2_sp1_20_rev.tif,1943-12781-27065.tif,4,20,22,no,na,0,0,some broken SC and non homologous tangle
Batch0,,15mar16_16jan16_G_f2_sp1_23_rev.tif,24025-12067-29114.tif,1,20,36,no,na,0,0,
Batch0,,15mar16_16jan16_G_f2_sp1_25_rev.tif,2118-25754-32481.tif,2,20,26,no,na,0,0,"some broken SC, shorter SC"
Batch0,,15mar16_16jan16_G_f2_sp1_27_rev.tif,26051-11491-10284.tif,1,20,24,no,na,0,0,
Batch0,,15mar16_16jan16_G_f2_sp1_3_rev.tif,3701-23541-4923.tif,1,20,27,no,na,0,0,
Batch0,,15mar16_16jan16_G_f2_sp1_30_rev.tif,17727-32366-10779.tif,2,20,24,no,na,0,0,1 broken SC
Batch0,,15mar16_16jan16_G_f2_sp1_33_rev.tif,13606-24795-11085.tif,2,20,34,no,na,0,0,
Batch0,,15mar16_16jan16_G_f2_sp1_5_rev.tif,6369-24986-21234.tif,1,20,30,no,na,0,0,
