Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
batch12,X,8mar18_19oct17_SPIC_f2_sp1_3_rev.tif,4353-8266-5616.tif,5,20,13,,,,0,
batch12,X,5aug17_14jul17_SPRET_f3_sp1_5_rev.tif,4528-24101-12198.tif,5,22?,25,no,,,,
batch12,X,7feb18_11jan18_KAZ_f3_sp1_5_rev.tif,31453-29184-9571.tif,,21,26,no,,,,
batch12,X,7feb18_11jan18_KAZ_f3_sp1_25_rev.tif,25441-17798-4636.tif,5,22,29,no,,0,0,
batch12,X,4aug17_14jul17_SPRET_f2_sp1_9_rev.tif,20488-23357-20786.tif,5,20,17?,no,,,0,
batch12,X,9sep15_8jun15_G_f4_sp1_12_rev.tif,4623-27730-21187.tif,5,20,22?,,,,0,
batch12,X,9sep15_8jun15_G_f4_sp1_1_rev.tif,680-23454-22635.tif,5?,,,,,,,not the best signal
batch12,X,9sep15_8jun15_G_f4_sp1_18_rev.tif,5404-22198-20154.tif,,,,,,,,
batch12,X,5apr18_31dec17_SPIC_f2_sp1_5_rev.tif,18917-13627-8811.tif,5,20,19,no,,,0,
batch12,X,10jan18_13jan17_LEW_f1_sp1_32_rev.tif,31691-2148-8107.tif,5,20,19,no,,,1,
batch12,X,5apr18_31dec17_SPIC_f2_sp1_20_rev.tif,16070-21000-3264.tif,4?,20,21,no,,,,
batch12,X,4aug17_30may17_SPRET_f1_sp1_8_rev.tif,18484-8741-12422.tif,5?,23?,24,,,,,
batch12,X,27jul15_8jun15_G_f3_sp1_4_rev.tif,2464-12018-28983.tif,,20,13?,,,,,
batch12,X,5dec17_19oct17_SPIC_f1_sp1_3_rev.tif,6960-188-15217.tif,5?,20,14?,,,,,
batch12,X,9apr18_1feb18_LEW_f1_sp1_8_rev.tif,16904-1246-12552.tif,5?,20,16?,,,,,
batch12,X,5apr18_31dec17_SPIC_f2_sp1_24_rev.tif,18207-31704-15340.tif,,20,17?,no,,,,
batch12,X,30jul15_8jun15_G_f3_sp1_21_rev.tif,18641-12034-26462.tif,4?5?,20,18?,no,,,,
batch12,X,9sep15_8jun15_G_f4_sp1_16_rev.tif,14871-7892-17761.tif,5,20,18?,no,,,,
batch12,X,2aug15_8jun15_G_f4_sp1_4.1_rev.tif,1107-4533-2439.tif,,20?,18?,,,,,redo crop
batch12,X,9apr18_1feb18_LEW_f1_sp1_17_rev.tif,27334-10231-12963.tif,,21,19?,,,,,
batch12,X,2aug15_8jun15_G_f4_sp1_14_rev.tif,32456-7705-18953.tif,,20,19?,no,,,,
batch12,X,5aug17_14jul17_SPRET_f3_sp1_11_rev.tif,26957-8262-13520.tif,5,20,19?,no,,,,
batch12,X,30jul15_8jun15_G_f3_sp1_5_rev.tif,19616-29553-12783.tif,4?5?,20,19?,no,,,0,
batch12,X,5jul15_8jun15_G_f4_sp1_11_rev.tif,1191-18432-23400.tif,4?,20,19?,no,,2,0,
batch12,X,2aug15_8jun15_G_f4_sp1_11_rev.tif,8617-27503-23613.tif,5,20,19?16?,no,,5?,0,
batch12,X,5dec17_19oct17_SPIC_f1_sp1_4_rev.tif,23932-1099-7864.tif,5?,20,20?,no,,,0,
batch12,X,5aug17_14jul17_SPRET_f3_sp1_10_rev.tif,8419-31236-21124.tif,5?,22?,20?,no,,1?,0,
batch12,X,8mar18_19oct17_SPIC_f2_sp1_2_rev.tif,804-15875-10644.tif,4?5?,20,20?,,,,,
batch12,X,28jul15_8jun15_G_f3_sp1_10_rev.tif,23079-22204-10349.tif,5,20,20?,no,,,0,
batch12,X,2aug15_8jun15_G_f4_sp1_17_rev.tif,17140-13044-15753.tif,,20,21?,no,,,0,
batch12,X,2aug15_8jun15_G_f4_sp1_7_rev.tif,26122-8355-19577.tif,,20,23?,no,,,0,
batch12,X,2aug15_8jun15_G_f4_sp1_16_rev.tif,4642-24977-28657.tif,4?5?,20,23?,,,,,
batch12,X,5jul15_8jun15_G_f4_sp1_20_rev.tif,8805-26140-4049.tif,5,20?21?,24?,no,,1?,0,
batch12,X,27jul15_8jun15_G_f3_sp1_7_rev.tif,29674-11966-5930.tif,2?,20,25?,,,,,
batch12,X,2nov15_8jun15_G_f4_sp2_7_rev.tif,12388-23680-14674.tif,5,20,25?,no,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_28_rev.tif,27839-1019-3792.tif,3?4?,20,26?,no,,,0,
batch12,X,9sep15_8jun15_G_f4_sp1_13_rev.tif,26925-3176-25662.tif,,20,26? 22?,,,,,
batch12,X,2aug15_8jun15_G_f4_sp1_2_rev.tif,6466-31579-7649.tif,5,19?,27?,,,,,
batch12,X,4aug17_30may17_SPRET_f1_sp1_2_rev.tif,1059-2615-26110.tif,,19?21?,31?,,,,,
batch12,X,4aug17_30may17_SPRET_f1_sp1_15_rev.tif,8399-11863-32372.tif,,,,,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_20_rev.tif,7247-13982-18794.tif,,,,,,,,
batch12,X,30jul15_8jun15_G_f3_sp1_16_rev.tif,7232-22606-25413.tif,5?,,,,,,,
batch12,X,2nov15_8jun15_G_f4_sp2_12_rev.tif,6717-11115-2449.tif,,20,,no,,,,
batch12,X,15sep15_8jun15_G_f3_sp3_3_rev.tif,5561-5302-18304.tif,5?,20,,,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_21_rev.tif,4745-32405-16487.tif,5,,,,,,,
batch12,X,4aug17_30may17_SPRET_f1_sp1_13_rev.tif,31555-8493-11083.tif,,21,,no,,,,
batch12,X,15sep15_8jun15_G_f3_sp3_8_rev.tif,31053-12542-31054.tif,,,,,,,,
batch12,X,5jul15_8jun15_G_f4_sp1_10_rev.tif,30398-13797-21289.tif,,,,,,,,
batch12,X,15sep15_8jun15_G_f3_sp3_1_rev.tif,29749-29677-28410.tif,,20,,,,,,
batch12,X,5apr18_31dec17_SPIC_f2_sp1_14_rev.tif,29593-27406-19607.tif,,20?,,,,,,
batch12,X,5jul15_8jun15_G_f4_sp1_8_rev.tif,29269-12626-28787.tif,5,20?,,,,,,
batch12,X,5jul15_8jun15_G_f4_sp1_9_rev.tif,28601-26906-20429.tif,4?5?,20?,,,,,,
batch12,X,2nov15_8jun15_G_f4_sp2_1_rev.tif,28542-26557-4058.tif,,19?,,no,,,,
batch12,X,2aug15_8jun15_G_f4_sp1_9_rev.tif,28471-12867-261.tif,,20,,no,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_27_rev.tif,28283-24463-21803.tif,,20,,no,,,,
batch12,X,2nov15_8jun15_G_f4_sp2_16_rev.tif,27934-19752-15104.tif,3?,20,,no,,,,
batch12,X,15sep15_8jun15_G_f3_sp3_9_rev.tif,27812-7813-21288.tif,5,,,,,,,
batch12,X,2nov15_8jun15_G_f4_sp2_14_rev.tif,27784-12171-7821.tif,4?5?,20,,no,,,,
batch12,X,15sep15_8jun15_G_f3_sp3_4_rev.tif,26897-15105-13299.tif,,,,,,,,
batch12,X,28jul15_8jun15_G_f3_sp1_3_rev.tif,26531-13379-22718.tif,,,,,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_7_rev.tif,26145-17699-2832.tif,,,,,,,,
batch12,X,9apr18_1feb18_LEW_f1_sp1_22_rev.tif,25980-26172-32611.tif,,,,,,,,
batch12,X,5apr18_11jan18_KAZ_f2_sp1_19.1_rev.tif,25890-10174-30205.tif,,,,,,,,
batch12,X,15sep15_8jun15_G_f3_sp3_15_rev.tif,22825-9222-11252.tif,,,,yes,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_3_rev.tif,22609-20958-24041.tif,,,,,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_18_rev.tif,21615-15132-2931.tif,,15,,,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_25_rev.tif,20146-22792-8712.tif,,,,,,,,
batch12,X,2nov15_8jun15_G_f4_sp2_8_rev.tif,18013-8168-4016.tif,,20,,no,,,,
batch12,X,2aug15_8jun15_G_f4_sp1_21_rev.tif,17292-15915-20537.tif,,,,,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_26_rev.tif,17264-3245-134.tif,,20,,no,,,0,
batch12,X,5dec17_19oct17_SPIC_f1_sp1_1_rev.tif,15661-22857-4913.tif,5,19?,,,,,,
batch12,X,5apr18_31dec17_SPIC_f2_sp1_11.1_rev.tif,14832-28756-2161.tif,,20?,,,,,,
batch12,X,9sep15_8jun15_G_f4_sp1_2_rev.tif,11167-6395-8559.tif,4?5?,20,,,,,,
batch12,X,15sep15_8jun15_G_f3_sp3_16_rev.tif,9929-23003-933.tif,,,,,,,,
batch12,X,4aug17_14jul17_SPRET_f2_sp1_4_rev.tif,8215-23156-24182.tif,,21?,,,,,,bad signal
batch12,X,30jul15_8jun15_G_f3_sp1_1_rev.tif,772-5444-24062.tif,4?5?,20,,,,,,
batch12,X,5aug17_14jul17_SPRET_f3_sp1_1_rev.tif,5330-28209-92.tif,5?,21?,,,,,,
batch12,X,2aug15_8jun15_G_f4_sp1_8_rev.tif,456-5205-28275.tif,,20,,no,,,1,
batch12,X,2nov15_8jun15_G_f4_sp2_5_rev.tif,3245-18853-26263.tif,,,,,,,,
batch12,X,9sep15_8jun15_G_f4_sp1_8_rev.tif,32211-20055-27296.tif,,20,,no,,,0,
batch12,X,2aug15_8jun15_G_f4_sp1_4.2_rev.tif,32153-7293-25974.tif,,20,,no,,,0,
batch12,X,2nov15_8jun15_G_f4_sp2_3_rev.tif,31122-25262-886.tif,,20,,,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_23_rev.tif,27561-22586-25290.tif,,19?,,,,,,
batch12,X,5apr18_31dec17_SPIC_f2_sp1_11.2_rev.tif,25902-6888-9305.tif,,20,,yes,,,,
batch12,X,5jul15_8jun15_G_f4_sp1_19_rev.tif,25415-30149-22745.tif,,20?,,,,,,
batch12,X,15sep15_8jun15_G_f3_sp3_14_rev.tif,24391-23827-21379.tif,,,,,,,,
batch12,X,4aug17_30may17_SPRET_f1_sp1_7_rev.tif,24037-15979-19162.tif,,,,,,,,
batch12,X,27jul15_8jun15_G_f3_sp1_13_rev.tif,23504-18373-11513.tif,,,,,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_19_rev.tif,23429-32122-8391.tif,,,,,,,,
batch12,X,5apr18_11jan18_KAZ_f2_sp1_3_rev.tif,23393-14021-26964.tif,,,,,,,,
batch12,X,2aug15_8jun15_G_f4_sp1_1_rev.tif,19232-22430-11119.tif,,20,,,,,,
batch12,X,30jul15_8jun15_G_f3_sp1_10.1_rev.tif,19117-14165-18227.tif,,,,yes,,,,
batch12,X,5dec17_19oct17_SPIC_f1_sp1_5_rev.tif,16850-25749-28293.tif,,20,,no,,,,
batch12,X,2aug15_8jun15_G_f4_sp1_15_rev.tif,16451-26727-9393.tif,,,,,,,,
batch12,X,9apr18_1feb18_LEW_f1_sp1_25_rev.tif,16362-8076-5592.tif,,20,,no,,,,
batch12,X,5aug17_14jul17_SPRET_f3_sp1_15_rev.tif,32080-386-1404.tif,,19,,,,,,
batch12,X,5apr18_11jan18_KAZ_f2_sp1_19.2_rev.tif,25784-30996-5002.tif,,20,,no,,,0,
batch12,X,2nov15_8jun15_G_f4_sp2_20_rev.tif,25704-16831-5029.tif,,19?,,,,,,
batch12,X,4aug17_30may17_SPRET_f1_sp1_18_rev.tif,24763-9061-1212.tif,,,,,,,,
batch12,X,4aug17_14jul17_SPRET_f2_sp1_3_rev.tif,9508-22335-1132.tif,,20,,no,,,,
batch12,X,15sep15_8jun15_G_f3_sp3_10_rev.tif,6911-4733-19415.tif,5,20,,no,,,,
batch12,X,28jul15_8jun15_G_f3_sp1_13_rev.tif,4734-22160-25726.tif,4?5?,20,,,,,,
batch12,X,2nov15_8jun15_G_f4_sp2_4_rev.tif,3194-28747-17775.tif,,,,,,,,
batch12,X,30jul15_8jun15_G_f3_sp1_4_rev.tif,22586-28982-2584.tif,,20,,no,,,0,
batch12,X,30jul15_8jun15_G_f3_sp1_26_rev.tif,22497-21681-14744.tif,,21?,,no,,,,
batch12,X,5apr18_11jan18_KAZ_f2_sp1_8_rev.tif,22363-22262-18869.tif,,20,,,,,,
batch12,X,2nov15_8jun15_G_f4_sp2_10_rev.tif,21824-15990-6865.tif,,21,,,,,,
batch12,X,9apr18_1feb18_LEW_f1_sp1_2_rev.tif,20558-29202-24002.tif,3?,20,,,,,,
batch12,X,4aug17_30may17_SPRET_f1_sp1_6_rev.tif,19664-7512-631.tif,,21,,no,,1?,0,
batch12,X,30jul15_8jun15_G_f3_sp1_15_rev.tif,15607-6999-32593.tif,5,20,,,,,,
batch12,X,2aug15_8jun15_G_f4_sp1_20_rev.tif,13645-29747-7346.tif,,20,,no,,,,
batch12,X,5aug17_14jul17_SPRET_f3_sp1_14_rev.tif,12729-19733-264.tif,,20?,,,,,,
batch12,X,27jul15_8jun15_G_f3_sp1_16_rev.tif,12573-24837-25768.tif,,20,,,,,,
batch12,X,15sep15_8jun15_G_f3_sp3_11_rev.tif,12217-17904-10403.tif,5?,19?,,,,,,
batch12,X,2aug15_8jun15_G_f4_sp1_19_rev.tif,11952-14418-21787.tif,,,,,,,,
batch12,X,27jul15_8jun15_G_f3_sp1_8_rev.tif,11802-26596-12583.tif,2?,20,,no,,,,
batch12,X,4aug17_14jul17_SPRET_f2_sp1_2_rev.tif,11772-7537-11282.tif,5,20,,no,,,,
batch12,X,8mar18_19oct17_SPIC_f2_sp1_7_rev.tif,11752-4340-26088.tif,,19?,,no,,,,
batch12,X,2nov15_8jun15_G_f4_sp2_18_rev.tif,10915-3238-183.tif,4?5?,20,,,,,,
batch12,X,10jan18_13jan17_LEW_f1_sp1_24_rev.tif,1088-1695-3245.tif,,,,,,,,
batch12,X,8mar18_19oct17_SPIC_f2_sp1_1_rev.tif,10699-8668-26642.tif,,,,,,,,
batch12,X,15sep15_8jun15_G_f3_sp3_7_rev.tif,1227-1903-26481.tif,4?5?,20,18?,no,,,,
batch12,X,5apr18_31dec17_SPIC_f2_sp1_9_rev.tif,325-24752-6843.tif,,20?,,,,,,
batch12,X,4aug17_30may17_SPRET_f1_sp1_9_rev.tif,14904-8786-12131.tif,,21?,,,,,,
batch12,,5apr18_11jan18_KAZ_f2_sp1_11_rev.tif,24240-7811-26087.tif,5,20,19,no,,4,4,
batch12,,2nov15_8jun15_G_f4_sp2_2_rev.tif,12131-31300-2052.tif,5,20,19,no,,3,0,
