"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","boxNumber","Obj.ID","SC.pass","foci.pass","curated.1pass.0fail","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","Foci4","notes","mouse","category","strain","sex","subsp","species","IFD3_ABS","IFD1_ABS","IFD2_ABS","IFD1_PER","PER_Foci_1","PER_Foci_2","PER_Foci_3","PER_Foci_4","dis.cent","dis.cent.PER","telo_dist","telo_dist_PER","SisCoTen","Rec.group"
"23jul19_28sep18_CZECH_m2_sp1_13.1_rev",56,4.5714,0.081705,18,"23jul19_28sep18_CZECH_m2_sp1_13.1_rev_18","1",0,"","",1,26,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.464285714285714,NA,NA,NA,21.4286,0.382653571428571,30,0.535714285714286,30,0
"23jul19_28sep18_CZECH_m2_sp1_13.1_rev",90,4.3865,0.04886,3,"23jul19_28sep18_CZECH_m2_sp1_13.1_rev_3","1",1,"","",3,28,46,81,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,18,35,0.2,0.311111111111111,0.511111111111111,0.9,NA,23.6135,0.262372222222222,9,0.1,27,0
"23jul19_28sep18_CZECH_m2_sp1_13.1_rev",97,7.9637,0.082508,6,"23jul19_28sep18_CZECH_m2_sp1_13.1_rev_6","1",0,"","",2,26,72,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,46,NA,0.474226804123711,0.268041237113402,0.742268041237113,NA,NA,18.0363,0.185941237113402,25,0.257731958762887,46,0
"23jul19_28sep18_CZECH_m2_sp1_13.1_rev",62,6.0741,0.09853,7,"23jul19_28sep18_CZECH_m2_sp1_13.1_rev_7","1",0,"","",0,NA,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0
"23jul19_28sep18_CZECH_m2_sp1_13.1_rev",123,2.9361,0.023859,8,"23jul19_28sep18_CZECH_m2_sp1_13.1_rev_8","1",0,"","",1,115,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.934959349593496,NA,NA,NA,112.0639,0.911088617886179,8,0.0650406504065041,8,0
"23jul19_28sep18_CZECH_m2_sp1_13.1_rev",98,5.661,0.05779,9,"23jul19_28sep18_CZECH_m2_sp1_13.1_rev_9","1",0,"","",1,44,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.448979591836735,NA,NA,NA,38.339,0.391214285714286,54,0.551020408163265,54,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",57,2.2951,0.040263,1,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_1","1",0,"","",1,33,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.578947368421053,NA,NA,NA,30.7049,0.538682456140351,24,0.421052631578947,24,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",109,3.778,0.034805,10,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_10","1",1,"","",1,85,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.779816513761468,NA,NA,NA,81.222,0.745155963302752,24,0.220183486238532,24,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",114,3.5424,0.031142,12,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_12","1",0,"","",3,15,70,96,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,55,26,0.482456140350877,0.131578947368421,0.614035087719298,0.842105263157895,NA,11.4576,0.100505263157895,18,0.157894736842105,73,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",77,5.8273,0.075645,13,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_13","1",0,"","",1,30,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.38961038961039,NA,NA,NA,24.1727,0.313931168831169,47,0.61038961038961,47,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",85,4.0554,0.04787,14,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_14","1",0,"","",1,67,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.788235294117647,NA,NA,NA,62.9446,0.740524705882353,18,0.211764705882353,18,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",90,3.9343,0.043956,15,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_15","1",1,"","",1,74,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.822222222222222,NA,NA,NA,70.0657,0.778507777777778,16,0.177777777777778,16,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",70,3.5336,0.050303,16,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_16","1",0,"","",1,58,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.828571428571429,NA,NA,NA,54.4664,0.778091428571429,12,0.171428571428571,12,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",56,6.7374,0.12071,17,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_17","1",0,"","",NA,NA,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",108,2.0588,0.019002,2,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_2","1",0,"","",2,27,96,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,69,NA,0.638888888888889,0.25,0.888888888888889,NA,NA,24.9412,0.230937037037037,12,0.111111111111111,69,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",98,7.6566,0.078431,3,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_3","1",0,"","",2,39,87,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,48,NA,0.489795918367347,0.397959183673469,0.887755102040816,NA,NA,31.3434,0.319830612244898,11,0.112244897959184,48,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",79,4.9023,0.062189,5,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_5","1",0,"","",1,62,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.784810126582278,NA,NA,NA,57.0977,0.722755696202532,17,0.215189873417722,17,0
"23jul19_28sep18_CZECH_m2_sp1_13.2_rev",76,4.5231,0.059488,6,"23jul19_28sep18_CZECH_m2_sp1_13.2_rev_6","1",0,"","",1,55,NA,NA,NA,"","28sep18_CZECH_m2","CZECH male","CZECH","male","Musc","M.musculus",NA,NA,NA,NA,0.723684210526316,NA,NA,NA,50.4769,0.664169736842105,21,0.276315789473684,21,0
