fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,
27mar16_6mar16_PWD_m1_sp1_2.2_rev,127,7.6107,0.060007,2,27mar16_6mar16_PWD_m1_sp1_2.2_rev_2,1,0,0,,1,55,,,
27mar16_6mar16_PWD_m1_sp1_2.2_rev,56,5.0515,0.089907,3,27mar16_6mar16_PWD_m1_sp1_2.2_rev_3,0,,,the length doesn't look right,,,,,
27mar16_6mar16_PWD_m1_sp1_2.2_rev,109,3.27,0.029956,4,27mar16_6mar16_PWD_m1_sp1_2.2_rev_4,1,0,0,,2,23,105,,
27mar16_6mar16_PWD_m1_sp1_2.2_rev,65,5.6509,0.086888,6,27mar16_6mar16_PWD_m1_sp1_2.2_rev_6,1,1,1,,1,26,,,
27mar16_6mar16_PWD_m1_sp1_2.2_rev,57,5.0187,0.087521,9,27mar16_6mar16_PWD_m1_sp1_2.2_rev_9,1,1,1,,1,26,,,
27mar16_6mar16_PWD_m1_sp1_3_rev,73,5.3071,0.072996,1,27mar16_6mar16_PWD_m1_sp1_3_rev_1,1,1,1,,1,62,,,
27mar16_6mar16_PWD_m1_sp1_3_rev,37,3.9039,0.10486,10,27mar16_6mar16_PWD_m1_sp1_3_rev_10,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_3_rev,65,7.1993,0.11009,11,27mar16_6mar16_PWD_m1_sp1_3_rev_11,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_3_rev,106,4.1044,0.038743,12,27mar16_6mar16_PWD_m1_sp1_3_rev_12,1,1,1,,2,23,96,,
27mar16_6mar16_PWD_m1_sp1_3_rev,122,3.2836,0.027012,13,27mar16_6mar16_PWD_m1_sp1_3_rev_13,1,1,1,,1,118,,,
27mar16_6mar16_PWD_m1_sp1_3_rev,57,5.0133,0.087462,14,27mar16_6mar16_PWD_m1_sp1_3_rev_14,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_3_rev,105,2.8125,0.026908,15,27mar16_6mar16_PWD_m1_sp1_3_rev_15,1,0,0,,0,,,,
27mar16_6mar16_PWD_m1_sp1_3_rev,60,6.053,0.10048,16,27mar16_6mar16_PWD_m1_sp1_3_rev_16,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_3_rev,95,5.5172,0.058118,18,27mar16_6mar16_PWD_m1_sp1_3_rev_18,1?0?,,,strange kink,,,,,
27mar16_6mar16_PWD_m1_sp1_3_rev,97,4.7411,0.049065,19,27mar16_6mar16_PWD_m1_sp1_3_rev_19,1,1,1,,2,28,85,,
27mar16_6mar16_PWD_m1_sp1_3_rev,112,5.4057,0.048262,2,27mar16_6mar16_PWD_m1_sp1_3_rev_2,1,1,1,,2,38,99,,
27mar16_6mar16_PWD_m1_sp1_3_rev,74,3.678,0.049915,20,27mar16_6mar16_PWD_m1_sp1_3_rev_20,1,1,1,,1,52,,,
27mar16_6mar16_PWD_m1_sp1_3_rev,36,3.4453,0.096318,6,27mar16_6mar16_PWD_m1_sp1_3_rev_6,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_3_rev,114,7.7055,0.067762,8,27mar16_6mar16_PWD_m1_sp1_3_rev_8,1,1,1,,2,35,102,,
27mar16_6mar16_PWD_m1_sp1_3_rev,77,6.9745,0.090276,9,27mar16_6mar16_PWD_m1_sp1_3_rev_9,1,1,1,,1,70,,,
