fileName chromosomeLength centromere_ABS_Position centromere_PER_Position boxNumber Obj.ID SC.pass foci.pass curated.1pass.0fail curation.notes hand.foci.count Foci1 Foci2 Foci3 Foci4 notes mouse category strain sex subsp species IFD3_ABS IFD1_ABS IFD2_ABS IFD1_PER PER_Foci_1 PER_Foci_2 PER_Foci_3 PER_Foci_4 SisCoTen Rec.group
5jun18_21may18_KAZ_m2_sp1_12_rev 77 3.4783 0.045 6 5jun18_21may18_KAZ_m2_sp1_12_rev_6 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_14_rev 73 4.5022 0.062034 8 5jun18_21may18_KAZ_m2_sp1_14_rev_8 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_15.2_rev 57 3.75 0.065438 1 5jun18_21may18_KAZ_m2_sp1_15.2_rev_1 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_18_rev 77 5.0501 0.065233 10 5jun18_21may18_KAZ_m2_sp1_18_rev_10 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_18_rev 73 4.375 0.059803 4 5jun18_21may18_KAZ_m2_sp1_18_rev_4 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_19.2_rev 57 3.7143 0.064936 18 5jun18_21may18_KAZ_m2_sp1_19.2_rev_18 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_21_rev 49 4.6034 0.093049 13 5jun18_21may18_KAZ_m2_sp1_21_rev_13 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_21_rev 57 4.8905 0.085722 2 5jun18_21may18_KAZ_m2_sp1_21_rev_2 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_21_rev 98 4.6016 0.047 6 5jun18_21may18_KAZ_m2_sp1_21_rev_6 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_4_rev 71 3.3745 0.047617 6 5jun18_21may18_KAZ_m2_sp1_4_rev_6 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_7_rev 59 5.5738 0.094656 1 5jun18_21may18_KAZ_m2_sp1_7_rev_1 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_7_rev 75 5.5861 0.074559 2 5jun18_21may18_KAZ_m2_sp1_7_rev_2 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_8.2_rev 70 4.2458 0.060668 14 5jun18_21may18_KAZ_m2_sp1_8.2_rev_14 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_8.2_rev 82 2.5 0.030353 9 5jun18_21may18_KAZ_m2_sp1_8.2_rev_9 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_8.3_rev 80 4.4924 0.055892 2 5jun18_21may18_KAZ_m2_sp1_8.3_rev_2 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
5jun18_21may18_KAZ_m2_sp1_9.2_rev 51 2.8986 0.057331 17 5jun18_21may18_KAZ_m2_sp1_9.2_rev_17 1 0   0      21may18_KAZ_m2 "KAZ male" KAZ male Musc M.musculus          0
26jan18_11jan18_KAZ_m3_sp1_1_rev 76 4.5428 0.059607 29 26jan18_11jan18_KAZ_m3_sp1_1_rev_29 1 0   0      11jan18_KAZ_m3 "KAZ male" KAZ male Musc M.musculus          0
26jan18_11jan18_KAZ_m3_sp1_3_rev 56 2.807 0.050002 2 26jan18_11jan18_KAZ_m3_sp1_3_rev_2 1 0   0      11jan18_KAZ_m3 "KAZ male" KAZ male Musc M.musculus          0
26jan18_11jan18_KAZ_m3_sp1_9.2_rev 87 8.1556 0.093474 7 26jan18_11jan18_KAZ_m3_sp1_9.2_rev_7 1 0   0      11jan18_KAZ_m3 "KAZ male" KAZ male Musc M.musculus          0
10jan18_13jan17_LEW_f1_sp1_14_rev 58 4.7961 0.082121 18 10jan18_13jan17_LEW_f1_sp1_14_rev_18 1 0   0      13jan17_LEW_f1 "LEW female" LEW female Dom M.musculus          0
30jun17_4jan17_LEW_f3_sp1_1_rev 95 5.4399 0.057288 1 30jun17_4jan17_LEW_f3_sp1_1_rev_1 1 0   0      4jan17_LEW_f3 "LEW female" LEW female Dom M.musculus          0
30jun17_4jan17_LEW_f3_sp1_1_rev 129 4.2713 0.033218 4 30jun17_4jan17_LEW_f3_sp1_1_rev_4 1 0   0      4jan17_LEW_f3 "LEW female" LEW female Dom M.musculus          0
6jun18_13jan17_LEW_f2_sp1_1_rev 105 3.566 0.033815 2 6jun18_13jan17_LEW_f2_sp1_1_rev_2 1 0   0      13jan17_LEW_f2 "LEW female" LEW female Dom M.musculus          0
19jan17_4jan17_LEW_f6_sp1_9_rev 87 2.4658 0.028325 3 19jan17_4jan17_LEW_f6_sp1_9_rev_3 1 0   0      4jan17_LEW_f6 "LEW female" LEW female Dom M.musculus          0
3mar15_13jan17_LEW_m1_sp1_11.2_rev 80 6.6956 0.083548 12 3mar15_13jan17_LEW_m1_sp1_11.2_rev_12 1 0   0      13jan17_LEW_m1 "LEW male" LEW male Dom M.musculus          0
6mar18_1feb18_LEW_m1_sp1_13_rev 49 3.0303 0.061639 4 6mar18_1feb18_LEW_m1_sp1_13_rev_4 1 0   0      1feb18_LEW_m1 "LEW male" LEW male Dom M.musculus          0
6mar18_1feb18_LEW_m1_sp1_3_rev 72 3.5821 0.049484 7 6mar18_1feb18_LEW_m1_sp1_3_rev_7 1 0   0      1feb18_LEW_m1 "LEW male" LEW male Dom M.musculus          0
