Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch9,,10jun15_24mar15_G_m1_sp1_4_rev.tif,27323-21217-1473.tif,2,20,25,no,yes,0,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_5.2_rev.tif,27415-4529-30628.tif,3,20,28,no,yes,0,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_10.4_rev.tif,27759-15129-9057.tif,3,20,22,no,yes,0,0,
Batch9,,27mar16_6mar16_G_m3_sp1_6.2_rev.tif,27939-7005-26126.tif,2,20,28,no,yes,0,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_21_rev.tif,28033-28436-17427.tif,2,20,26,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_7_rev.tif,28111-24067-24047.tif,3,20,22,no,yes,0,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_21.2_rev.tif,28216-12731-560.tif,3,20,27,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_13_rev.tif,28693-16662-20550.tif,3,20,22,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m2_sp1_3_rev.tif,28921-13772-3791.tif,2,20,20,no,yes,2,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_6_rev.tif,29098-692-1669.tif,2,20,19,no,yes,2,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_5_rev.tif,29107-2066-27283.tif,2,20,21,no,no,2,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_9_rev.tif,29167-16474-18452.tif,4,20,28,no,yes,1,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_17_rev.tif,29258-25951-8723.tif,2,20,23,no,yes,0,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_18_rev.tif,29300-1634-16490.tif,4,20,23,no,yes,0,0,
Batch9,,10jun15_24mar15_G_m1_sp1_10_rev.tif,29379-10338-3967.tif,3,20,20,no,no,1,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_5.2_rev.tif,29442-26474-986.tif,1,20,19,no,yes,2,0,
Batch9,,10jun15_24mar15_G_m1_sp1_5_rev.tif,29469-322-23442.tif,3,20,21,no,yes,1,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_11_rev.tif,29513-15793-13535.tif,3,20,21,no,yes,1,0,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_7.1_rev.tif,29546-17580-5824.tif,3,20,26,no,yes,0,1,
Batch9,,6mar18_1feb18_LEW_m1_sp1_4.2_rev.tif,29572-3980-20614.tif,3,20,20,no,yes,2,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_15.3_rev.tif,29578-2657-11897.tif,5,20,23,no,yes,1,0,
Batch9,,27mar16_6mar16_G_m3_sp1_11.1_rev.tif,29663-12720-23253.tif,1,20,26,no,yes,0,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_3.1_rev.tif,29698-6247-4954.tif,1,20,29,no,yes,0,0,
Batch9,,10jun15_24mar15_G_m1_sp1_30_rev.tif,29699-528-19439.tif,2,20,24,no,yes,1,0,
Batch9,,27mar16_6mar16_G_m3_sp1_4_rev.tif,29750-26889-30380.tif,1,20,24,no,yes,0,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_25_rev.tif,29839-17868-6413.tif,5,20,20,no,yes,2,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_1_rev.tif,29903-16899-10841.tif,3,20,22,no,yes,3,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_13.3_rev.tif,30445-16375-16716.tif,2,20,30,no,yes,0,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_13_rev.tif,30458-22640-24507.tif,1,20,25,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_22.1_rev.tif,30560-11884-12162.tif,4,20,21,no,yes,0,0,possible duplicate?
Batch9,,27mar16_6mar16_G_m3_sp1_2_rev.tif,30623-5260-21207.tif,1,20,22,no,yes,1,0,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_17_rev.tif,30965-6856-15836.tif,2,20,22,no,yes,0,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_7_rev.tif,30988-28540-9135.tif,2,20,31,no,yes,0,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_18.1_rev.tif,31013-981-21879.tif,3,20,24,no,yes,1,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_16.2_rev.tif,31123-15659-15035.tif,4,20,20,no,yes,3,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_17_rev.tif,31407-31860-6826.tif,3,20,22,no,no,1,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_14.2_rev.tif,31444-4189-25896.tif,2,20,21,no,yes,1,0,
Batch9,,10jun15_24mar15_G_m1_sp1_18_rev.tif,31557-15209-26292.tif,2,20,21,yes,yes,0,0,
Batch9,,10jun15_24mar15_G_m1_sp1_3.1_rev.tif,3172-18362-11674.tif,3,20,19,no,yes,1,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_18.1_rev.tif,31884-806-3143.tif,3,20,17,no,yes,1,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_26.1_rev.tif,32064-21741-24441.tif,1,20,21,no,yes,0,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_13.3_rev.tif,32089-1076-18846.tif,3,20,20,no,yes,0,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_23_rev.tif,32220-5216-31400.tif,5,20,19,no,yes,2,0,
Batch9,,10jun15_24mar15_G_m1_sp1_11_rev.tif,32232-21602-1287.tif,2,20,21,yes,yes,1,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_9.1_rev.tif,32337-11359-6804.tif,3,20,19,no,yes,1,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_4.1_rev.tif,32341-30760-17853.tif,3,20,21,no,yes,1,0,
Batch9,,10jun15_24mar15_G_m1_sp1_3.3_rev.tif,32558-1864-18314.tif,3,20,23,no,yes,0,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_28_rev.tif,32647-21391-11059.tif,2,20,24,no,yes,0,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_10.2_rev.tif,32661-18878-3787.tif,3,20,19,no,yes,1,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_17.1_rev.tif,32755-6169-18833.tif,3,20,23,no,yes,1,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_15_rev.tif,3288-15242-23604.tif,3,20,25,no,yes,0,2,
