"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","boxNumber","Obj.ID","SC.pass","foci.pass","curated.1pass.0fail.","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","notes","mouse","category"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",46,3.9238,0.08534,12,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_12","1","0","","","1","31","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",52,2.7778,0.053398,13,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_13","1","0","","","1","38","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",61,5.5941,0.091429,14,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_14","1","0","","","2","33","56","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",97,5.0429,0.051929,15,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_15","1","0","","","1","88","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",101,4.0531,0.040049,16,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_16","1","0","","","1","91","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",88,3.5325,0.040346,18,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_18","1","0","","","1","78","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",72,5.5568,0.0769,19,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_19","1","0","","","","","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",96,5.547,0.057947,4,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_4","1","0","","","1","53","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",71,3.5484,0.050005,6,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_6","1","","","","","","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",61,3.0508,0.049959,7,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_7","1","0","","","1","43","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",64,4.9827,0.07815,8,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_8","1","0","","","","","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_13_rev",65,4.4411,0.067809,10,"12oct18_26sep18_CZECH_m1_sp1_13_rev_10","1","0","","","1","41","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_13_rev",90,7.8351,0.08658,11,"12oct18_26sep18_CZECH_m1_sp1_13_rev_11","1","0","","","2","12","88","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_13_rev",73,8.4116,0.11448,13,"12oct18_26sep18_CZECH_m1_sp1_13_rev_13","1","1","","","1","66","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_13_rev",108,4.8092,0.044454,17,"12oct18_26sep18_CZECH_m1_sp1_13_rev_17","1","0","","","1","79","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_13_rev",101,7.0259,0.069419,18,"12oct18_26sep18_CZECH_m1_sp1_13_rev_18","1","0","","","1","76","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_13_rev",111,7.7473,0.069735,19,"12oct18_26sep18_CZECH_m1_sp1_13_rev_19","1","0","","","2","16","99","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_13_rev",107,6.4335,0.060195,5,"12oct18_26sep18_CZECH_m1_sp1_13_rev_5","1","1","","","2","39","96","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_13_rev",83,4.8472,0.058429,8,"12oct18_26sep18_CZECH_m1_sp1_13_rev_8","1","0","","","1","65","","","2 smaller flanking foci","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_18_rev",111,3.4783,0.031314,1,"12oct18_26sep18_CZECH_m1_sp1_18_rev_1","1","1","","","1","68","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_18_rev",80,6.6858,0.083886,10,"12oct18_26sep18_CZECH_m1_sp1_18_rev_10","1","0","","","2","11","75","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_18_rev",66,4.3684,0.065968,12,"12oct18_26sep18_CZECH_m1_sp1_18_rev_12","1","0","","","1","33","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_18_rev",84,4.1791,0.04947,2,"12oct18_26sep18_CZECH_m1_sp1_18_rev_2","1","0","","","1","70","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_18_rev",60,3.4286,0.057342,7,"12oct18_26sep18_CZECH_m1_sp1_18_rev_7","1","0","","","2","15","53","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_18_rev",79,3.75,0.04765,9,"12oct18_26sep18_CZECH_m1_sp1_18_rev_9","1","0","","","1","26","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_23_rev",75,5.0064,0.066653,10,"12oct18_26sep18_CZECH_m1_sp1_23_rev_10","1","0","","","1","64","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_23_rev",66,5.5537,0.083676,2,"12oct18_26sep18_CZECH_m1_sp1_23_rev_2","1","0","","","1","59","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_23_rev",73,2.9412,0.040204,9,"12oct18_26sep18_CZECH_m1_sp1_23_rev_9","1","0","","","1","19","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_26_rev",52,6.3261,0.12112,10,"12oct18_26sep18_CZECH_m1_sp1_26_rev_10","1","0","","","1","46","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_26_rev",77,3.4921,0.045343,12,"12oct18_26sep18_CZECH_m1_sp1_26_rev_12","1","1","","","1","33","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_26_rev",127,5.974,0.046984,13,"12oct18_26sep18_CZECH_m1_sp1_26_rev_13","1","0","","","2","18","119","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_26_rev",113,6.4594,0.056936,14,"12oct18_26sep18_CZECH_m1_sp1_26_rev_14","1","0","","","2","21","110","","faint middle foci","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_26_rev",68,6.5482,0.096398,15,"12oct18_26sep18_CZECH_m1_sp1_26_rev_15","1","0","","","1","50","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_26_rev",91,7.4133,0.081539,2,"12oct18_26sep18_CZECH_m1_sp1_26_rev_2","1","0","","","2","39","73","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_26_rev",73,5.0996,0.069938,4,"12oct18_26sep18_CZECH_m1_sp1_26_rev_4","1","0","","","","","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_26_rev",89,4.8485,0.054418,5,"12oct18_26sep18_CZECH_m1_sp1_26_rev_5","1","0","","","1","73","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_26_rev",71,3.8889,0.055066,7,"12oct18_26sep18_CZECH_m1_sp1_26_rev_7","1","0","","","1","42","","","","26sep18_CZECH_m1","CZECH male"
