Original.Name,DOB,M stained,imaged,MLH1 quality,,total images,good images,quant batch,mean quality,pass,,D stained
3sep18_TOM_m1,9/19/2017,12sep18_MLH1-1,9/26/2018,not very good,,10,,,,,,
3sep18_TOM_m2,9/19/2017,12sep18_MLH1-1,NA,,,,,,,,,
3jul18_TOM_m1,4/26/2017,8jul18_MLH1-1,NA,,,,,,,,,
28jun18_TOM_m1,4/26/2017,1jul18_MLH1-2,NA,,,,,,,,,
